"","id","alltrial","experiment","condition","agent","leftObject","rightObject","targetOnTable","pick","target","trial","rt","correct"
"1","02fb06d045a51c093f8deb8fd8a581a0","1","cue_strength_between","label","Elephant","car","bear","inner","car","left","train",11359,1
"2","02fb06d045a51c093f8deb8fd8a581a0","2","cue_strength_between","label","Pig","duck","ball","outer","ball","right","train",9661,1
"3","02fb06d045a51c093f8deb8fd8a581a0","3","cue_strength_between","look","Cat","t2","t3","outer","t2","left","1",5359,1
"4","02fb06d045a51c093f8deb8fd8a581a0","4","cue_strength_between","look","Sheep","t12","t1","inner","t1","right","2",3033,1
"5","02fb06d045a51c093f8deb8fd8a581a0","5","cue_strength_between","look","Tiger","t14","t5","outer","t14","left","3",2331,1
"6","02fb06d045a51c093f8deb8fd8a581a0","6","cue_strength_between","look","Monkey","t7","t4","outer","t4","right","4",2693,1
"7","02fb06d045a51c093f8deb8fd8a581a0","7","cue_strength_between","look","Bear","t8","t15","inner","t15","right","5",1403,1
"8","02fb06d045a51c093f8deb8fd8a581a0","8","cue_strength_between","look","Dog","t6","t11","inner","t6","left","6",2509,1
"9","02fb06d045a51c093f8deb8fd8a581a0","9","cue_strength_between","look","Elephant","t9","t10","inner","t9","left","7",1624,1
"10","02fb06d045a51c093f8deb8fd8a581a0","10","cue_strength_between","look","Mouse","t16","t17","outer","t17","right","8",1841,1
"11","3e5d5a1d0985716215916d591b525278","1","cue_strength_between","label","Elephant","car","bear","inner","car","left","train",8473,1
"12","3e5d5a1d0985716215916d591b525278","2","cue_strength_between","label","Pig","duck","ball","outer","ball","right","train",9270,1
"13","3e5d5a1d0985716215916d591b525278","3","cue_strength_between","look","Cat","t9","t12","inner","t12","right","1",8137,1
"14","3e5d5a1d0985716215916d591b525278","4","cue_strength_between","look","Bunny","t16","t17","inner","t16","left","2",2918,1
"15","3e5d5a1d0985716215916d591b525278","5","cue_strength_between","look","Mouse","t5","t14","inner","t5","left","3",2318,1
"16","3e5d5a1d0985716215916d591b525278","6","cue_strength_between","look","Tiger","t7","t6","outer","t7","left","4",2041,1
"17","3e5d5a1d0985716215916d591b525278","7","cue_strength_between","look","Dog","t3","t4","outer","t3","left","5",1148,1
"18","3e5d5a1d0985716215916d591b525278","8","cue_strength_between","look","Elephant","t10","t11","outer","t11","right","6",1607,1
"19","3e5d5a1d0985716215916d591b525278","9","cue_strength_between","look","Monkey","t15","t2","inner","t2","right","7",2384,1
"20","3e5d5a1d0985716215916d591b525278","10","cue_strength_between","look","Frog","t8","t1","inner","t1","right","8",1073,1
"21","41da867c9cf5d01007f9cfa162016301","1","cue_strength_between","label","Elephant","car","bear","inner","car","left","train",9446,1
"22","41da867c9cf5d01007f9cfa162016301","2","cue_strength_between","label","Pig","duck","ball","outer","ball","right","train",4978,1
"23","41da867c9cf5d01007f9cfa162016301","3","cue_strength_between","look","Dog","t8","t14","outer","t8","left","1",3104,1
"24","41da867c9cf5d01007f9cfa162016301","4","cue_strength_between","look","Sheep","t1","t16","inner","t16","right","2",1437,1
"25","41da867c9cf5d01007f9cfa162016301","5","cue_strength_between","look","Monkey","t5","t11","inner","t11","right","3",1088,1
"26","41da867c9cf5d01007f9cfa162016301","6","cue_strength_between","look","Mouse","t12","t9","inner","t9","right","4",5469,1
"27","41da867c9cf5d01007f9cfa162016301","7","cue_strength_between","look","Bunny","t17","t6","inner","t17","left","5",1827,1
"28","41da867c9cf5d01007f9cfa162016301","8","cue_strength_between","look","Tiger","t15","t7","outer","t15","left","6",3358,1
"29","41da867c9cf5d01007f9cfa162016301","9","cue_strength_between","look","Bear","t3","t2","inner","t3","left","7",9997,1
"30","41da867c9cf5d01007f9cfa162016301","10","cue_strength_between","look","Cat","t4","t10","inner","t4","right","8",8032,0
"31","8524f30148f01a168c7a72388726d150","1","cue_strength_between","label","Elephant","car","bear","inner","car","left","train",5471,1
"32","8524f30148f01a168c7a72388726d150","2","cue_strength_between","label","Pig","duck","ball","outer","ball","right","train",4617,1
"33","8524f30148f01a168c7a72388726d150","3","cue_strength_between","look","Bunny","t5","t15","inner","t15","right","1",2203,1
"34","8524f30148f01a168c7a72388726d150","4","cue_strength_between","look","Monkey","t2","t17","outer","t17","left","2",1458,0
"35","8524f30148f01a168c7a72388726d150","5","cue_strength_between","look","Tiger","t14","t3","outer","t3","left","3",2070,0
"36","8524f30148f01a168c7a72388726d150","6","cue_strength_between","look","Frog","t16","t10","inner","t10","right","4",865,1
"37","8524f30148f01a168c7a72388726d150","7","cue_strength_between","look","Bear","t12","t8","inner","t12","right","5",2022,0
"38","8524f30148f01a168c7a72388726d150","8","cue_strength_between","look","Pig","t4","t6","inner","t6","right","6",1855,1
"39","8524f30148f01a168c7a72388726d150","9","cue_strength_between","look","Elephant","t11","t7","outer","t7","left","7",908,0
"40","8524f30148f01a168c7a72388726d150","10","cue_strength_between","look","Mouse","t1","t9","outer","t1","left","8",748,1
"41","8b765b5568b477cc90b5f111e89eee04","1","cue_strength_between","label","Elephant","car","bear","inner","car","left","train",5565,1
"42","8b765b5568b477cc90b5f111e89eee04","2","cue_strength_between","label","Pig","duck","ball","outer","ball","right","train",6074,1
"43","8b765b5568b477cc90b5f111e89eee04","3","cue_strength_between","look","Tiger","t7","t1","inner","t7","left","1",6553,1
"44","8b765b5568b477cc90b5f111e89eee04","4","cue_strength_between","look","Frog","t11","t3","outer","t11","left","2",3173,1
"45","8b765b5568b477cc90b5f111e89eee04","5","cue_strength_between","look","Mouse","t12","t6","outer","t12","left","3",2802,1
"46","8b765b5568b477cc90b5f111e89eee04","6","cue_strength_between","look","Elephant","t10","t8","outer","t8","right","4",2608,1
"47","8b765b5568b477cc90b5f111e89eee04","7","cue_strength_between","look","Pig","t17","t2","outer","t2","right","5",2157,1
"48","8b765b5568b477cc90b5f111e89eee04","8","cue_strength_between","look","Monkey","t16","t4","inner","t4","right","6",2304,1
"49","8b765b5568b477cc90b5f111e89eee04","9","cue_strength_between","look","Bunny","t15","t9","outer","t15","left","7",2319,1
