"","id","alltrial","experiment","condition","agent","leftObject","rightObject","targetOnTable","pick","target","trial","rt","correct"
"1","0ea3c3bd721f4e2feac17ab6ef736c48","1","cue_strength_between","label","Elephant","car","bear","inner","car","left","train",4039,1
"2","0ea3c3bd721f4e2feac17ab6ef736c48","2","cue_strength_between","label","Pig","duck","ball","outer","ball","right","train",4438,1
"3","0ea3c3bd721f4e2feac17ab6ef736c48","3","cue_strength_between","point","Cat","t10","t4","inner","t10","left","1",1916,1
"4","0ea3c3bd721f4e2feac17ab6ef736c48","4","cue_strength_between","point","Frog","t12","t1","inner","t1","right","2",1025,1
"5","0ea3c3bd721f4e2feac17ab6ef736c48","5","cue_strength_between","point","Bunny","t5","t16","outer","t5","right","3",1165,0
"6","0ea3c3bd721f4e2feac17ab6ef736c48","6","cue_strength_between","point","Tiger","t6","t3","outer","t6","right","4",771,0
"7","0ea3c3bd721f4e2feac17ab6ef736c48","7","cue_strength_between","point","Monkey","t11","t15","inner","t11","left","5",690,1
"8","0ea3c3bd721f4e2feac17ab6ef736c48","8","cue_strength_between","point","Bear","t7","t14","inner","t14","right","6",838,1
"9","0ea3c3bd721f4e2feac17ab6ef736c48","9","cue_strength_between","point","Dog","t8","t17","inner","t8","left","7",654,1
"10","0ea3c3bd721f4e2feac17ab6ef736c48","10","cue_strength_between","point","Elephant","t9","t2","outer","t2","left","8",1517,0
"11","197522be14204b9b2fc336d42dc933a5","1","cue_strength_between","label","Elephant","car","bear","inner","car","left","train",5415,1
"12","197522be14204b9b2fc336d42dc933a5","2","cue_strength_between","label","Pig","duck","ball","outer","ball","right","train",4261,1
"13","197522be14204b9b2fc336d42dc933a5","3","cue_strength_between","point","Bear","t2","t15","outer","t2","right","1",1681,0
"14","197522be14204b9b2fc336d42dc933a5","4","cue_strength_between","point","Cat","t10","t9","outer","t10","left","2",962,1
"15","197522be14204b9b2fc336d42dc933a5","5","cue_strength_between","point","Monkey","t12","t8","outer","t8","right","3",1003,1
"16","197522be14204b9b2fc336d42dc933a5","6","cue_strength_between","point","Bunny","t1","t3","outer","t1","left","4",1316,1
"17","197522be14204b9b2fc336d42dc933a5","7","cue_strength_between","point","Elephant","t11","t4","outer","t11","left","5",1242,1
"18","197522be14204b9b2fc336d42dc933a5","8","cue_strength_between","point","Dog","t16","t14","outer","t16","left","6",1188,1
"19","197522be14204b9b2fc336d42dc933a5","9","cue_strength_between","point","Tiger","t5","t6","outer","t6","right","7",1276,1
"20","197522be14204b9b2fc336d42dc933a5","10","cue_strength_between","point","Pig","t17","t7","inner","t7","right","8",1011,1
"21","24af76b311c58aaea14ea26716c8fc35","1","cue_strength_between","label","Elephant","car","bear","inner","car","left","train",5861,1
"22","24af76b311c58aaea14ea26716c8fc35","2","cue_strength_between","label","Pig","duck","ball","outer","ball","right","train",4693,1
"23","24af76b311c58aaea14ea26716c8fc35","3","cue_strength_between","point","Bunny","t4","t7","inner","t7","left","1",3504,0
"24","24af76b311c58aaea14ea26716c8fc35","4","cue_strength_between","point","Frog","t1","t8","outer","t1","left","2",1631,1
"25","24af76b311c58aaea14ea26716c8fc35","5","cue_strength_between","point","Pig","t12","t11","outer","t12","right","3",1500,0
"26","24af76b311c58aaea14ea26716c8fc35","6","cue_strength_between","point","Dog","t2","t14","outer","t14","left","4",1361,0
"27","24af76b311c58aaea14ea26716c8fc35","7","cue_strength_between","point","Sheep","t9","t15","outer","t15","left","5",1204,0
"28","24af76b311c58aaea14ea26716c8fc35","8","cue_strength_between","point","Bear","t17","t16","inner","t16","right","6",1147,1
"29","24af76b311c58aaea14ea26716c8fc35","9","cue_strength_between","point","Cat","t3","t5","outer","t3","right","7",1196,0
"30","24af76b311c58aaea14ea26716c8fc35","10","cue_strength_between","point","Monkey","t6","t10","outer","t10","right","8",2301,1
"31","2c5bc5eddcb2f632ef32828d674ee377","1","cue_strength_between","label","Elephant","car","bear","inner","car","left","train",5926,1
"32","2c5bc5eddcb2f632ef32828d674ee377","2","cue_strength_between","label","Pig","duck","ball","outer","ball","right","train",5816,1
"33","2c5bc5eddcb2f632ef32828d674ee377","3","cue_strength_between","point","Elephant","t10","t15","inner","t15","right","1",2658,1
"34","2c5bc5eddcb2f632ef32828d674ee377","4","cue_strength_between","point","Bear","t9","t8","outer","t8","right","2",1379,1
"35","2c5bc5eddcb2f632ef32828d674ee377","5","cue_strength_between","point","Pig","t5","t17","outer","t17","right","3",1527,1
"36","2c5bc5eddcb2f632ef32828d674ee377","6","cue_strength_between","point","Frog","t7","t14","inner","t7","left","4",1868,1
"37","2c5bc5eddcb2f632ef32828d674ee377","7","cue_strength_between","point","Bunny","t12","t1","inner","t12","left","5",1773,1
"38","2c5bc5eddcb2f632ef32828d674ee377","8","cue_strength_between","point","Monkey","t2","t3","inner","t2","left","6",1124,1
"39","2c5bc5eddcb2f632ef32828d674ee377","9","cue_strength_between","point","Dog","t16","t4","outer","t4","right","7",1187,1
"40","2c5bc5eddcb2f632ef32828d674ee377","10","cue_strength_between","point","Mouse","t11","t6","inner","t11","left","8",1079,1
"41","3e5d5a1d0985716215916d591b525278","1","cue_strength_between","label","Elephant","car","bear","inner","bear","left","train",5183,0
"42","3e5d5a1d0985716215916d591b525278","2","cue_strength_between","label","Pig","duck","ball","outer","duck","right","train",4669,0
"43","3e5d5a1d0985716215916d591b525278","3","cue_strength_between","point","Bear","t8","t4","inner","t8","left","1",2095,1
"44","3e5d5a1d0985716215916d591b525278","4","cue_strength_between","point","Tiger","t2","t6","outer","t2","left","2",2397,1
"45","3e5d5a1d0985716215916d591b525278","5","cue_strength_between","point","Cat","t14","t1","inner","t14","right","3",2005,1
"46","3e5d5a1d0985716215916d591b525278","6","cue_strength_between","point","Bunny","t11","t7","outer","t7","right","4",2217,1
"47","3e5d5a1d0985716215916d591b525278","7","cue_strength_between","point","Dog","t15","t5","inner","t15","right","5",1105,0
"48","3e5d5a1d0985716215916d591b525278","8","cue_strength_between","point","Sheep","t9","t16","outer","t16","left","6",3109,0
"49","3e5d5a1d0985716215916d591b525278","9","cue_strength_between","point","Pig","t3","t17","outer","t3","right","7",1093,0
"50","3e5d5a1d0985716215916d591b525278","10","cue_strength_between","point","Monkey","t12","t10","outer","t10","left","8",791,0
"51","3fc5449fff37cf13b925fee1ac1c3971","1","cue_strength_between","label","Elephant","car","bear","inner","car","left","train",8024,1
"52","3fc5449fff37cf13b925fee1ac1c3971","2","cue_strength_between","label","Pig","duck","ball","outer","ball","right","train",4414,1
"53","3fc5449fff37cf13b925fee1ac1c3971","3","cue_strength_between","point","Mouse","t6","t11","inner","t11","right","1",4088,1
"54","3fc5449fff37cf13b925fee1ac1c3971","4","cue_strength_between","point","Bunny","t2","t9","inner","t2","right","2",5763,0
"55","3fc5449fff37cf13b925fee1ac1c3971","5","cue_strength_between","point","Frog","t12","t3","outer","t12","left","3",3907,1
"56","3fc5449fff37cf13b925fee1ac1c3971","6","cue_strength_between","point","Monkey","t1","t16","inner","t16","right","4",4030,1
