"","id","alltrial","experiment","condition","control","agent","leftObject","rightObject","targetOnTable","pick","target","trial","rt","correct"
"1","007dd87678a682538ff38f282e9b2c3c","1","cue_strength_unintentional_bell","label","no","Elephant","car","bear","inner","car","left","train",15910,1
"2","007dd87678a682538ff38f282e9b2c3c","2","cue_strength_unintentional_bell","label","no","Pig","duck","ball","outer","ball","right","train",11739,1
"3","007dd87678a682538ff38f282e9b2c3c","3","cue_strength_unintentional_bell","lookLabel","no","Bunny","t2","t4","inner","t4","right","1",16083,1
"4","007dd87678a682538ff38f282e9b2c3c","4","cue_strength_unintentional_bell","lookLabel","no","Frog","t18","t10","inner","t18","left","2",11428,1
"5","007dd87678a682538ff38f282e9b2c3c","5","cue_strength_unintentional_bell","lookLabel","yes","Monkey","t12","t3","outer","t3","right","3",11819,1
"6","007dd87678a682538ff38f282e9b2c3c","6","cue_strength_unintentional_bell","lookLabel","no","Bear","t6","t14","outer","t6","left","4",38883,1
"7","007dd87678a682538ff38f282e9b2c3c","7","cue_strength_unintentional_bell","lookLabel","yes","Mouse","t15","t9","outer","t9","right","5",22228,1
"8","007dd87678a682538ff38f282e9b2c3c","8","cue_strength_unintentional_bell","lookLabel","yes","Beaver","t16","t7","inner","t16","left","6",11156,1
"9","007dd87678a682538ff38f282e9b2c3c","9","cue_strength_unintentional_bell","lookLabel","no","Tiger","t5","t13","outer","t5","left","7",10873,1
"10","007dd87678a682538ff38f282e9b2c3c","10","cue_strength_unintentional_bell","lookLabel","yes","Dog","t11","t8","inner","t8","right","8",34182,1
"11","00d9b6017536b44e1a850bc1d36fd4f3","1","cue_strength_unintentional_bell","label","no","Elephant","car","bear","inner","car","left","train",6154,1
"12","00d9b6017536b44e1a850bc1d36fd4f3","2","cue_strength_unintentional_bell","label","no","Pig","duck","ball","outer","ball","right","train",6139,1
"13","00d9b6017536b44e1a850bc1d36fd4f3","3","cue_strength_unintentional_bell","lookLabel","no","Bunny","t12","t15","outer","t15","right","1",9085,1
"14","00d9b6017536b44e1a850bc1d36fd4f3","4","cue_strength_unintentional_bell","lookLabel","yes","Mouse","t2","t6","inner","t2","left","2",8023,1
"15","00d9b6017536b44e1a850bc1d36fd4f3","5","cue_strength_unintentional_bell","lookLabel","no","Frog","t13","t18","outer","t18","left","3",9228,0
"16","00d9b6017536b44e1a850bc1d36fd4f3","6","cue_strength_unintentional_bell","lookLabel","no","Dog","t9","t3","inner","t9","left","4",11797,1
"17","00d9b6017536b44e1a850bc1d36fd4f3","7","cue_strength_unintentional_bell","lookLabel","yes","Monkey","t7","t17","inner","t17","right","5",8028,1
"18","00d9b6017536b44e1a850bc1d36fd4f3","8","cue_strength_unintentional_bell","lookLabel","no","Beaver","t11","t16","inner","t16","right","6",7930,1
"19","00d9b6017536b44e1a850bc1d36fd4f3","9","cue_strength_unintentional_bell","lookLabel","yes","Tiger","t10","t14","inner","t10","left","7",9756,1
"20","00d9b6017536b44e1a850bc1d36fd4f3","10","cue_strength_unintentional_bell","lookLabel","yes","Bear","t1","t5","inner","t5","right","8",7524,1
"21","03b39ca36f98e4769b744418381b9d6f","1","cue_strength_unintentional_bell","label","no","Elephant","car","bear","inner","car","left","train",12721,1
"22","03b39ca36f98e4769b744418381b9d6f","2","cue_strength_unintentional_bell","label","no","Pig","duck","ball","outer","ball","right","train",12531,1
"23","03b39ca36f98e4769b744418381b9d6f","3","cue_strength_unintentional_bell","lookLabel","yes","Monkey","t5","t11","inner","t5","left","1",16142,1
"24","03b39ca36f98e4769b744418381b9d6f","4","cue_strength_unintentional_bell","lookLabel","no","Dog","t17","t6","inner","t6","left","2",16008,0
"25","03b39ca36f98e4769b744418381b9d6f","5","cue_strength_unintentional_bell","lookLabel","no","Frog","t12","t7","inner","t7","right","3",18946,1
"26","03b39ca36f98e4769b744418381b9d6f","6","cue_strength_unintentional_bell","lookLabel","yes","Mouse","t1","t4","outer","t1","left","4",11999,1
"27","03b39ca36f98e4769b744418381b9d6f","7","cue_strength_unintentional_bell","lookLabel","yes","Beaver","t18","t9","inner","t18","right","5",11156,0
"28","03b39ca36f98e4769b744418381b9d6f","8","cue_strength_unintentional_bell","lookLabel","no","Bunny","t14","t15","inner","t15","right","6",12228,1
"29","03b39ca36f98e4769b744418381b9d6f","9","cue_strength_unintentional_bell","lookLabel","no","Tiger","t8","t10","inner","t8","left","7",12150,1
"30","03b39ca36f98e4769b744418381b9d6f","10","cue_strength_unintentional_bell","lookLabel","yes","Bear","t2","t3","inner","t2","right","8",11102,0
"31","0f8e4d8aec4dd8e6d8fa2fc085afec76","1","cue_strength_unintentional_bell","label","no","Elephant","car","bear","inner","car","left","train",10870,1
"32","0f8e4d8aec4dd8e6d8fa2fc085afec76","2","cue_strength_unintentional_bell","label","no","Pig","duck","ball","outer","ball","right","train",9845,1
"33","0f8e4d8aec4dd8e6d8fa2fc085afec76","3","cue_strength_unintentional_bell","lookLabel","no","Monkey","t8","t7","outer","t8","left","1",14781,1
"34","0f8e4d8aec4dd8e6d8fa2fc085afec76","4","cue_strength_unintentional_bell","lookLabel","no","Frog","t5","t10","inner","t10","right","2",7789,1
"35","0f8e4d8aec4dd8e6d8fa2fc085afec76","5","cue_strength_unintentional_bell","lookLabel","no","Beaver","t18","t17","inner","t18","left","3",12272,1
"36","0f8e4d8aec4dd8e6d8fa2fc085afec76","6","cue_strength_unintentional_bell","lookLabel","yes","Bunny","t6","t4","inner","t6","right","4",16223,0
"37","0f8e4d8aec4dd8e6d8fa2fc085afec76","7","cue_strength_unintentional_bell","lookLabel","no","Tiger","t9","t13","outer","t9","left","5",15688,1
"38","0f8e4d8aec4dd8e6d8fa2fc085afec76","8","cue_strength_unintentional_bell","lookLabel","yes","Bear","t11","t14","inner","t11","right","6",14071,0
"39","0f8e4d8aec4dd8e6d8fa2fc085afec76","9","cue_strength_unintentional_bell","lookLabel","yes","Dog","t1","t2","inner","t2","left","7",15200,0
"40","0f8e4d8aec4dd8e6d8fa2fc085afec76","10","cue_strength_unintentional_bell","lookLabel","yes","Sheep","t16","t12","inner","t16","right","8",15154,0
"41","11c542da5b47c2be08bcf76e0bab1543","1","cue_strength_unintentional_bell","label","no","Elephant","car","bear","inner","car","left","train",12822,1
"42","11c542da5b47c2be08bcf76e0bab1543","2","cue_strength_unintentional_bell","label","no","Pig","duck","ball","outer","ball","right","train",11924,1
"43","11c542da5b47c2be08bcf76e0bab1543","3","cue_strength_unintentional_bell","lookLabel","no","Frog","t13","t4","inner","t4","right","1",18188,1
"44","11c542da5b47c2be08bcf76e0bab1543","4","cue_strength_unintentional_bell","lookLabel","yes","Mouse","t12","t16","inner","t16","right","2",18767,1
"45","11c542da5b47c2be08bcf76e0bab1543","5","cue_strength_unintentional_bell","lookLabel","yes","Monkey","t11","t15","inner","t11","left","3",14474,1
"46","11c542da5b47c2be08bcf76e0bab1543","6","cue_strength_unintentional_bell","lookLabel","no","Beaver","t8","t10","inner","t8","left","4",15215,1
"47","11c542da5b47c2be08bcf76e0bab1543","7","cue_strength_unintentional_bell","lookLabel","no","Bunny","t1","t3","outer","t1","left","5",13525,1
"48","11c542da5b47c2be08bcf76e0bab1543","8","cue_strength_unintentional_bell","lookLabel","no","Dog","t5","t2","outer","t2","right","6",12266,1
