"","id","alltrial","experiment","condition","control","agent","leftObject","rightObject","targetOnTable","pick","target","trial","rt","correct"
"1","0611f4d780071d9ee5161bff06ca1583","1","cue_strength_unintentional_tornado","label","no","Elephant","car","bear","inner","car","left","train",8041,1
"2","0611f4d780071d9ee5161bff06ca1583","2","cue_strength_unintentional_tornado","label","no","Pig","duck","ball","outer","ball","right","train",6580,1
"3","0611f4d780071d9ee5161bff06ca1583","3","cue_strength_unintentional_tornado","lookLabel","no","Frog","t9","t4","outer","t9","left","1",7375,1
"4","0611f4d780071d9ee5161bff06ca1583","4","cue_strength_unintentional_tornado","lookLabel","no","Mouse","t8","t5","outer","t8","left","2",6624,1
"5","0611f4d780071d9ee5161bff06ca1583","5","cue_strength_unintentional_tornado","lookLabel","no","Beaver","t6","t2","outer","t2","right","3",4075,1
"6","0611f4d780071d9ee5161bff06ca1583","6","cue_strength_unintentional_tornado","lookLabel","no","Monkey","t11","t14","outer","t14","right","4",6495,1
"7","0611f4d780071d9ee5161bff06ca1583","7","cue_strength_unintentional_tornado","lookLabel","no","Bunny","t17","t15","outer","t15","right","5",4551,1
"8","0611f4d780071d9ee5161bff06ca1583","8","cue_strength_unintentional_tornado","lookLabel","no","Tiger","t3","t13","outer","t13","right","6",6522,1
"9","0611f4d780071d9ee5161bff06ca1583","9","cue_strength_unintentional_tornado","lookLabel","no","Cat","t1","t16","inner","t16","left","7",6540,1
"10","0611f4d780071d9ee5161bff06ca1583","10","cue_strength_unintentional_tornado","lookLabel","no","Sheep","t10","t12","outer","t12","right","8",6903,1
"11","0a478be949a303b4e79e076067ba7962","1","cue_strength_unintentional_tornado","label","no","Elephant","car","bear","inner","car","left","train",8138,1
"12","0a478be949a303b4e79e076067ba7962","2","cue_strength_unintentional_tornado","label","no","Pig","duck","ball","outer","ball","right","train",9536,1
"13","0a478be949a303b4e79e076067ba7962","3","cue_strength_unintentional_tornado","lookLabel","no","Beaver","t18","t17","inner","t18","left","1",10591,1
"14","0a478be949a303b4e79e076067ba7962","4","cue_strength_unintentional_tornado","lookLabel","no","Frog","t14","t11","inner","t14","left","2",8875,1
"15","0a478be949a303b4e79e076067ba7962","5","cue_strength_unintentional_tornado","lookLabel","no","Dog","t10","t7","outer","t10","left","3",7579,1
"16","0a478be949a303b4e79e076067ba7962","6","cue_strength_unintentional_tornado","lookLabel","no","Bunny","t4","t12","inner","t4","right","4",8102,0
"17","0a478be949a303b4e79e076067ba7962","7","cue_strength_unintentional_tornado","lookLabel","no","Monkey","t8","t16","inner","t8","right","5",6701,0
"18","0a478be949a303b4e79e076067ba7962","8","cue_strength_unintentional_tornado","lookLabel","no","Bear","t13","t6","inner","t13","left","6",8290,1
"19","0a478be949a303b4e79e076067ba7962","9","cue_strength_unintentional_tornado","lookLabel","no","Mouse","t2","t15","outer","t15","right","7",6565,1
"20","0a478be949a303b4e79e076067ba7962","10","cue_strength_unintentional_tornado","lookLabel","no","Tiger","t1","t9","inner","t9","right","8",4869,1
"21","1a2f96cdb63fa31156e449573e0b3582","1","cue_strength_unintentional_tornado","label","no","Elephant","car","bear","inner","car","left","train",4329,1
"22","1a2f96cdb63fa31156e449573e0b3582","2","cue_strength_unintentional_tornado","label","no","Pig","duck","ball","outer","ball","right","train",9045,1
"23","1a2f96cdb63fa31156e449573e0b3582","3","cue_strength_unintentional_tornado","lookLabel","no","Frog","t12","t18","outer","t18","left","1",5332,0
"24","1a2f96cdb63fa31156e449573e0b3582","4","cue_strength_unintentional_tornado","lookLabel","no","Mouse","t13","t17","outer","t17","right","2",5349,1
"25","1a2f96cdb63fa31156e449573e0b3582","5","cue_strength_unintentional_tornado","lookLabel","no","Monkey","t2","t4","inner","t2","right","3",6055,0
"26","1a2f96cdb63fa31156e449573e0b3582","6","cue_strength_unintentional_tornado","lookLabel","no","Bunny","t5","t14","inner","t5","right","4",4189,0
"27","1a2f96cdb63fa31156e449573e0b3582","7","cue_strength_unintentional_tornado","lookLabel","no","Dog","t6","t16","outer","t6","right","5",4479,0
"28","1a2f96cdb63fa31156e449573e0b3582","8","cue_strength_unintentional_tornado","lookLabel","no","Beaver","t11","t7","inner","t7","left","6",4222,0
"29","1a2f96cdb63fa31156e449573e0b3582","9","cue_strength_unintentional_tornado","lookLabel","no","Cat","t1","t15","inner","t15","right","7",4861,1
"30","1a2f96cdb63fa31156e449573e0b3582","10","cue_strength_unintentional_tornado","lookLabel","no","Bear","t8","t9","inner","t9","left","8",4239,0
"31","3437c8f7897ab29af9487cb92a684841","1","cue_strength_unintentional_tornado","label","no","Elephant","car","bear","inner","car","left","train",10631,1
"32","3437c8f7897ab29af9487cb92a684841","2","cue_strength_unintentional_tornado","label","no","Pig","duck","ball","outer","ball","right","train",7171,1
"33","3437c8f7897ab29af9487cb92a684841","3","cue_strength_unintentional_tornado","lookLabel","no","Mouse","t13","t4","outer","t13","left","1",11033,1
"34","3437c8f7897ab29af9487cb92a684841","4","cue_strength_unintentional_tornado","lookLabel","no","Frog","t1","t5","inner","t5","right","2",6787,1
"35","3437c8f7897ab29af9487cb92a684841","5","cue_strength_unintentional_tornado","lookLabel","no","Beaver","t2","t18","outer","t2","right","3",6701,0
"36","3437c8f7897ab29af9487cb92a684841","6","cue_strength_unintentional_tornado","lookLabel","no","Bunny","t8","t3","inner","t3","left","4",7818,0
"37","3437c8f7897ab29af9487cb92a684841","7","cue_strength_unintentional_tornado","lookLabel","no","Monkey","t11","t16","inner","t16","right","5",7235,1
"38","3437c8f7897ab29af9487cb92a684841","8","cue_strength_unintentional_tornado","lookLabel","no","Dog","t12","t17","inner","t17","right","6",4389,1
"39","3437c8f7897ab29af9487cb92a684841","9","cue_strength_unintentional_tornado","lookLabel","no","Bear","t7","t6","inner","t7","left","7",4993,1
"40","3437c8f7897ab29af9487cb92a684841","10","cue_strength_unintentional_tornado","lookLabel","no","Tiger","t9","t15","outer","t15","left","8",6313,0
"41","387daa95f8a6aeb0f166fdca91d37bd4","1","cue_strength_unintentional_tornado","label","no","Elephant","car","bear","inner","car","left","train",14152,1
"42","387daa95f8a6aeb0f166fdca91d37bd4","2","cue_strength_unintentional_tornado","label","no","Pig","duck","ball","outer","ball","right","train",7160,1
"43","387daa95f8a6aeb0f166fdca91d37bd4","3","cue_strength_unintentional_tornado","lookLabel","no","Frog","t1","t16","inner","t1","left","1",6723,1
"44","387daa95f8a6aeb0f166fdca91d37bd4","4","cue_strength_unintentional_tornado","lookLabel","no","Mouse","t14","t17","outer","t17","right","2",5216,1
"45","387daa95f8a6aeb0f166fdca91d37bd4","5","cue_strength_unintentional_tornado","lookLabel","no","Beaver","t2","t9","outer","t2","left","3",4103,1
"46","387daa95f8a6aeb0f166fdca91d37bd4","6","cue_strength_unintentional_tornado","lookLabel","no","Bunny","t11","t7","inner","t11","left","4",4834,1
"47","387daa95f8a6aeb0f166fdca91d37bd4","7","cue_strength_unintentional_tornado","lookLabel","no","Monkey","t8","t10","inner","t10","right","5",4009,1
"48","387daa95f8a6aeb0f166fdca91d37bd4","8","cue_strength_unintentional_tornado","lookLabel","no","Dog","t4","t15","inner","t15","right","6",6517,1
"49","387daa95f8a6aeb0f166fdca91d37bd4","9","cue_strength_unintentional_tornado","lookLabel","no","Bear","t12","t5","outer","t5","right","7",4535,1
"50","387daa95f8a6aeb0f166fdca91d37bd4","10","cue_strength_unintentional_tornado","lookLabel","no","Sheep","t6","t13","inner","t6","left","8",4923,1
"51","388f222e1b484d0d4051d21909efac8d","1","cue_strength_unintentional_tornado","label","no","Elephant","car","bear","inner","car","left","train",11782,1
"52","388f222e1b484d0d4051d21909efac8d","2","cue_strength_unintentional_tornado","label","no","Pig","duck","ball","outer","ball","right","train",10464,1
"53","388f222e1b484d0d4051d21909efac8d","3","cue_strength_unintentional_tornado","lookLabel","no","Beaver","t8","t18","outer","t8","left","1",10587,1
"54","388f222e1b484d0d4051d21909efac8d","4","cue_strength_unintentional_tornado","lookLabel","no","Mouse","t16","t2","outer","t2","right","2",14481,1
"55","388f222e1b484d0d4051d21909efac8d","5","cue_strength_unintentional_tornado","lookLabel","no","Frog","t15","t9","outer","t9","right","3",12065,1
"56","388f222e1b484d0d4051d21909efac8d","6","cue_strength_unintentional_tornado","lookLabel","no","Dog","t13","t5","outer","t5","right","4",12433,1
"57","388f222e1b484d0d4051d21909efac8d","7","cue_strength_unintentional_tornado","lookLabel","no","Monkey","t12","t1","inner","t1","right","5",10851,1
"58","388f222e1b484d0d4051d21909efac8d","8","cue_strength_unintentional_tornado","lookLabel","no","Bunny","t7","t17","inner","t7","left","6",12286,1
"59","388f222e1b484d0d4051d21909efac8d","9","cue_strength_unintentional_tornado","lookLabel","no","Tiger","t10","t14","inner","t10","left","7",11946,1
"60","388f222e1b484d0d4051d21909efac8d","10","cue_strength_unintentional_tornado","lookLabel","no","Cat","t3","t4","inner","t3","left","8",11529,1
"61","3c26be30cda0be293981ea523c2602e2","1","cue_strength_unintentional_tornado","label","no","Elephant","car","bear","inner","car","left","train",8249,1
"62","3c26be30cda0be293981ea523c2602e2","2","cue_strength_unintentional_tornado","label","no","Pig","duck","ball","outer","ball","right","train",7514,1
"63","3c26be30cda0be293981ea523c2602e2","3","cue_strength_unintentional_tornado","lookLabel","no","Frog","t1","t18","inner","t18","left","1",11176,1
"64","3c26be30cda0be293981ea523c2602e2","4","cue_strength_unintentional_tornado","lookLabel","no","Mouse","t11","t13","inner","t11","left","2",8048,1
"65","3c26be30cda0be293981ea523c2602e2","5","cue_strength_unintentional_tornado","lookLabel","no","Beaver","t7","t16","outer","t7","left","3",9585,1
"66","3c26be30cda0be293981ea523c2602e2","6","cue_strength_unintentional_tornado","lookLabel","no","Monkey","t8","t6","outer","t6","right","4",7730,1
"67","3c26be30cda0be293981ea523c2602e2","7","cue_strength_unintentional_tornado","lookLabel","no","Tiger","t4","t15","inner","t15","right","5",7693,1
"68","3c26be30cda0be293981ea523c2602e2","8","cue_strength_unintentional_tornado","lookLabel","no","Dog","t14","t2","inner","t2","right","6",6985,1
"69","3c26be30cda0be293981ea523c2602e2","9","cue_strength_unintentional_tornado","lookLabel","no","Bear","t10","t12","inner","t12","right","7",6081,1
"70","3c26be30cda0be293981ea523c2602e2","10","cue_strength_unintentional_tornado","lookLabel","no","Bunny","t5","t9","outer","t9","right","8",5145,1
"71","7a94653e1d57b783fa822151fa2dfa06","1","cue_strength_unintentional_tornado","label","no","Elephant","car","bear","inner","car","left","train",10063,1
"72","7a94653e1d57b783fa822151fa2dfa06","2","cue_strength_unintentional_tornado","label","no","Pig","duck","ball","outer","ball","right","train",7350,1
