"","id","alltrial","experiment","condition","control","agent","leftObject","rightObject","targetOnTable","pick","target","trial","rt","correct"
"1","29eca4c768adcd7685648aac6b1ba322","1","cue_strength_unintentional_tornado","label","no","Elephant","car","bear","inner","car","left","train",8209,1
"2","29eca4c768adcd7685648aac6b1ba322","2","cue_strength_unintentional_tornado","label","no","Pig","duck","ball","outer","ball","right","train",7331,1
"3","29eca4c768adcd7685648aac6b1ba322","3","cue_strength_unintentional_tornado","lookLabel","yes","Beaver","t5","t4","outer","t5","left","1",9697,1
"4","29eca4c768adcd7685648aac6b1ba322","4","cue_strength_unintentional_tornado","lookLabel","no","Frog","t17","t12","inner","t12","right","2",10885,1
"5","29eca4c768adcd7685648aac6b1ba322","5","cue_strength_unintentional_tornado","lookLabel","no","Dog","t8","t1","outer","t8","left","3",7089,1
"6","29eca4c768adcd7685648aac6b1ba322","6","cue_strength_unintentional_tornado","lookLabel","yes","Mouse","t9","t13","inner","t13","right","4",9361,1
"7","29eca4c768adcd7685648aac6b1ba322","7","cue_strength_unintentional_tornado","lookLabel","no","Tiger","t15","t7","outer","t7","right","5",8404,1
"8","29eca4c768adcd7685648aac6b1ba322","8","cue_strength_unintentional_tornado","lookLabel","yes","Bear","t11","t18","outer","t11","left","6",7014,1
"9","29eca4c768adcd7685648aac6b1ba322","9","cue_strength_unintentional_tornado","lookLabel","yes","Monkey","t6","t16","outer","t16","right","7",6866,1
"10","29eca4c768adcd7685648aac6b1ba322","10","cue_strength_unintentional_tornado","lookLabel","no","Cat","t14","t3","outer","t3","right","8",11195,1
"11","2c90e7bc1b3f06f3b253fa82d6ee3c4a","1","cue_strength_unintentional_tornado","label","no","Elephant","car","bear","inner","car","left","train",7859,1
"12","2c90e7bc1b3f06f3b253fa82d6ee3c4a","2","cue_strength_unintentional_tornado","label","no","Pig","duck","ball","outer","ball","right","train",7202,1
"13","2c90e7bc1b3f06f3b253fa82d6ee3c4a","3","cue_strength_unintentional_tornado","lookLabel","yes","Frog","t18","t17","inner","t18","right","1",9729,0
"14","2c90e7bc1b3f06f3b253fa82d6ee3c4a","4","cue_strength_unintentional_tornado","lookLabel","no","Beaver","t14","t5","inner","t5","left","2",7764,0
"15","2c90e7bc1b3f06f3b253fa82d6ee3c4a","5","cue_strength_unintentional_tornado","lookLabel","yes","Mouse","t13","t4","outer","t13","right","3",9872,0
"16","2c90e7bc1b3f06f3b253fa82d6ee3c4a","6","cue_strength_unintentional_tornado","lookLabel","no","Monkey","t11","t7","outer","t11","right","4",6534,0
"17","2c90e7bc1b3f06f3b253fa82d6ee3c4a","7","cue_strength_unintentional_tornado","lookLabel","yes","Bunny","t16","t1","inner","t1","left","5",6422,0
"18","2c90e7bc1b3f06f3b253fa82d6ee3c4a","8","cue_strength_unintentional_tornado","lookLabel","no","Dog","t2","t6","inner","t6","left","6",4131,0
"19","2c90e7bc1b3f06f3b253fa82d6ee3c4a","9","cue_strength_unintentional_tornado","lookLabel","yes","Bear","t15","t8","outer","t15","right","7",4937,0
"20","2c90e7bc1b3f06f3b253fa82d6ee3c4a","10","cue_strength_unintentional_tornado","lookLabel","no","Cat","t9","t12","outer","t12","left","8",4014,0
