"","id","alltrial","experiment","condition","control","agent","leftObject","rightObject","targetOnTable","pick","target","trial","rt","correct"
"1","12652110c6687ea40c6bc3706ee078f4","1","cue_strength_unintentional_tornado","label","no","Elephant","car","bear","inner","car","left","train",7512,1
"2","12652110c6687ea40c6bc3706ee078f4","2","cue_strength_unintentional_tornado","label","no","Pig","duck","ball","outer","ball","right","train",7494,1
"3","12652110c6687ea40c6bc3706ee078f4","3","cue_strength_unintentional_tornado","lookLabel","yes","Mouse","t2","t9","inner","t2","left","1",6718,1
"4","12652110c6687ea40c6bc3706ee078f4","4","cue_strength_unintentional_tornado","lookLabel","yes","Beaver","t1","t10","outer","t10","right","2",6880,1
"5","12652110c6687ea40c6bc3706ee078f4","5","cue_strength_unintentional_tornado","lookLabel","yes","Frog","t13","t16","inner","t16","right","3",7349,1
"6","12652110c6687ea40c6bc3706ee078f4","6","cue_strength_unintentional_tornado","lookLabel","yes","Bunny","t4","t5","outer","t4","right","4",16987,0
"7","12652110c6687ea40c6bc3706ee078f4","7","cue_strength_unintentional_tornado","lookLabel","yes","Monkey","t6","t12","outer","t6","left","5",7467,1
"8","12652110c6687ea40c6bc3706ee078f4","8","cue_strength_unintentional_tornado","lookLabel","yes","Dog","t14","t8","outer","t8","right","6",7062,1
"9","12652110c6687ea40c6bc3706ee078f4","9","cue_strength_unintentional_tornado","lookLabel","yes","Bear","t3","t7","outer","t7","right","7",8531,1
"10","12652110c6687ea40c6bc3706ee078f4","10","cue_strength_unintentional_tornado","lookLabel","yes","Tiger","t15","t11","inner","t15","left","8",25797,1
"11","15f17047a6c104ca135759c1b261d74a","1","cue_strength_unintentional_tornado","label","no","Elephant","car","bear","inner","car","left","train",15194,1
"12","15f17047a6c104ca135759c1b261d74a","2","cue_strength_unintentional_tornado","label","no","Pig","duck","ball","outer","ball","right","train",7513,1
"13","15f17047a6c104ca135759c1b261d74a","3","cue_strength_unintentional_tornado","lookLabel","yes","Bunny","t2","t4","outer","t2","right","1",36498,0
