"","id","alltrial","experiment","condition","agent","leftObject","rightObject","targetOnTable","pick","target","trial","rt","correct"
"1","03affe81da6d91137fef365c747d253c","1","cue_strength_within","label","Elephant","car","bear","inner","car","left","train",11764,1
"2","03affe81da6d91137fef365c747d253c","2","cue_strength_within","label","Pig","duck","ball","outer","ball","right","train",9906,1
"3","03affe81da6d91137fef365c747d253c","3","cue_strength_within","point","Frog","t2","t1","inner","t1","right","1",4155,1
"4","03affe81da6d91137fef365c747d253c","4","cue_strength_within","pointLabel","Mouse","t15","t12","inner","t15","left","2",10610,1
"5","03affe81da6d91137fef365c747d253c","5","cue_strength_within","pointLabel","Bunny","t5","t11","outer","t5","left","3",8416,1
"6","03affe81da6d91137fef365c747d253c","6","cue_strength_within","look","Pig","t3","t7","inner","t7","right","4",6787,1
"7","03affe81da6d91137fef365c747d253c","7","cue_strength_within","lookLabel","Tiger","t4","t10","inner","t10","right","5",9099,1
"8","03affe81da6d91137fef365c747d253c","8","cue_strength_within","look","Bear","t16","t9","outer","t9","right","6",5036,1
"9","03affe81da6d91137fef365c747d253c","9","cue_strength_within","lookLabel","Dog","t17","t6","inner","t17","left","7",7469,1
"10","03affe81da6d91137fef365c747d253c","10","cue_strength_within","point","Elephant","t14","t8","outer","t14","left","8",2055,1
"11","098a90c8ce6b0beac6cb0a1a43228ecd","1","cue_strength_within","label","Elephant","car","bear","inner","car","left","train",11560,1
"12","098a90c8ce6b0beac6cb0a1a43228ecd","2","cue_strength_within","label","Pig","duck","ball","outer","ball","right","train",10084,1
"13","098a90c8ce6b0beac6cb0a1a43228ecd","3","cue_strength_within","point","Elephant","t7","t1","inner","t1","right","1",2478,1
"14","098a90c8ce6b0beac6cb0a1a43228ecd","4","cue_strength_within","pointLabel","Pig","t12","t2","outer","t2","left","2",4802,0
"15","098a90c8ce6b0beac6cb0a1a43228ecd","5","cue_strength_within","pointLabel","Frog","t8","t5","outer","t5","right","3",6630,1
"16","098a90c8ce6b0beac6cb0a1a43228ecd","6","cue_strength_within","point","Bunny","t16","t3","inner","t16","left","4",2690,1
"17","098a90c8ce6b0beac6cb0a1a43228ecd","7","cue_strength_within","lookLabel","Cat","t11","t4","outer","t11","left","5",4554,1
"18","098a90c8ce6b0beac6cb0a1a43228ecd","8","cue_strength_within","look","Mouse","t10","t6","outer","t10","left","6",2250,1
"19","098a90c8ce6b0beac6cb0a1a43228ecd","9","cue_strength_within","lookLabel","Bear","t15","t9","inner","t9","right","7",6748,1
"20","098a90c8ce6b0beac6cb0a1a43228ecd","10","cue_strength_within","look","Monkey","t17","t14","outer","t14","right","8",2446,1
"21","0a0ffbb8b727c1e176e51c9d0323f17c","1","cue_strength_within","label","Elephant","car","bear","inner","car","left","train",7559,1
"22","0a0ffbb8b727c1e176e51c9d0323f17c","2","cue_strength_within","label","Pig","duck","ball","outer","ball","right","train",18434,1
"23","0a0ffbb8b727c1e176e51c9d0323f17c","3","cue_strength_within","lookLabel","Dog","t2","t15","outer","t15","right","1",11079,1
"24","0a0ffbb8b727c1e176e51c9d0323f17c","4","cue_strength_within","point","Sheep","t6","t10","outer","t10","right","2",7270,1
"25","0a0ffbb8b727c1e176e51c9d0323f17c","5","cue_strength_within","pointLabel","Bear","t7","t14","outer","t7","right","3",11791,0
"26","0a0ffbb8b727c1e176e51c9d0323f17c","6","cue_strength_within","look","Bunny","t1","t9","outer","t1","left","4",4167,1
"27","0a0ffbb8b727c1e176e51c9d0323f17c","7","cue_strength_within","point","Pig","t3","t4","outer","t3","left","5",3789,1
"28","0a0ffbb8b727c1e176e51c9d0323f17c","8","cue_strength_within","lookLabel","Monkey","t16","t12","inner","t12","left","6",13404,0
"29","0a0ffbb8b727c1e176e51c9d0323f17c","9","cue_strength_within","look","Frog","t5","t11","inner","t11","right","7",6544,1
"30","0a0ffbb8b727c1e176e51c9d0323f17c","10","cue_strength_within","pointLabel","Tiger","t17","t8","inner","t8","left","8",8376,0
