"","test_date","alltrial","subid","age","condition","trial","control","agent","leftObject","rightObject","targetOnTable","pick","target","rt","correct","trial_type"
"1","2018-07-30-13-48","1","073018-01","3","cue_kids_barrier","train1","false","Elephant","car","bear","inner","car","left",11337,1,"train"
"2","2018-07-30-14-19","1","073018-02","4","cue_kids_barrier","train1","false","Elephant","car","bear","inner","car","left",13226,1,"train"
"3","2018-07-30-15-28","1","073018-03","4","cue_kids_barrier","train1","false","Elephant","car","bear","inner","car","left",15121,1,"train"
"4","2018-07-31-09-21","1","073118-1","4","cue_kids_barrier","train1","false","Elephant","car","bear","inner","car","left",11017,1,"train"
"5","2018-07-31-10-05","1","073118-2","4","cue_kids_barrier","train1","false","Elephant","car","bear","inner","car","left",8744,1,"train"
"6","2018-07-31-10-55","1","073118-3","4","cue_kids_barrier","train1","false","Elephant","car","bear","inner","car","left",10565,1,"train"
"7","2018-08-01-13-34","1","080118-1","4","cue_kids_barrier","train1","false","Elephant","car","bear","inner","car","left",11664,1,"train"
"8","2018-08-01-13-47","1","080118-2","4","cue_kids_barrier","train1","false","Elephant","car","bear","inner","car","left",13065,1,"train"
"9","2018-08-01-14-09","1","080118-3","4","cue_kids_barrier","train1","false","Elephant","car","bear","inner","car","left",13221,1,"train"
"10","2018-08-01-15-38","1","080118-4","4","cue_kids_barrier","train1","false","Elephant","car","bear","inner","car","left",14032,1,"train"
"11","2018-08-02-09-04","1","080218-1","3","cue_kids_barrier","train1","false","Elephant","car","bear","inner","car","left",8377,1,"train"
"12","2018-08-02-09-27","1","080218-2","3","cue_kids_barrier","train1","false","Elephant","car","bear","inner","car","left",13574,1,"train"
"13","2018-08-02-09-41","1","080218-18","4","cue_kids_barrier","train1","false","Elephant","car","bear","inner","car","left",13216,1,"train"
"14","2018-08-02-10-53","1","080218-4","4","cue_kids_barrier","train1","false","Elephant","car","bear","inner","car","left",10772,1,"train"
"15","2018-08-02-11-05","1","080218-5","3","cue_kids_barrier","train1","false","Elephant","car","bear","inner","car","left",13419,1,"train"
"16","2018-08-02-13-18","1","080218-5","3","cue_kids_barrier","train1","false","Elephant","car","bear","inner","car","left",17137,1,"train"
"17","2018-08-02-14-00","1","080218-6","3","cue_kids_barrier","train1","false","Elephant","car","bear","inner","car","left",12497,1,"train"
"18","2018-08-02-14-11","1","080218-8","3","cue_kids_barrier","train1","false","Elephant","car","bear","inner","car","left",12520,1,"train"
"19","2018-08-02-14-37","1","080218-9","4","cue_kids_barrier","train1","false","Elephant","car","bear","inner","car","left",12020,1,"train"
"20","2018-08-02-15-28","1","080218-10","4","cue_kids_barrier","train1","false","Elephant","car","bear","inner","car","left",12103,1,"train"
"21","2018-08-06-13-40","1","080618-1","3","cue_kids_barrier","train1","false","Elephant","car","bear","inner","car","left",15574,1,"train"
"22","2018-08-07-09-11","1","080718-1","4","cue_kids_barrier","train1","false","Elephant","car","bear","inner","car","left",11982,1,"train"
"23","2018-08-07-09-47","1","080718-2","4","cue_kids_barrier","train1","false","Elephant","car","bear","inner","car","left",11258,1,"train"
"24","2018-08-07-10-11","1","080718-3","3","cue_kids_barrier","train1","false","Elephant","car","bear","inner","car","left",16850,1,"train"
"25","2018-08-09-09-09","1","080918-1","4","cue_kids_barrier","train1","false","Elephant","car","bear","inner","car","left",10746,1,"train"
"26","2018-08-09-09-30","1","080918-2","3","cue_kids_barrier","train1","false","Elephant","car","bear","inner","car","left",11362,1,"train"
