"","id","alltrial","experiment","condition","agent","leftObject","rightObject","targetOnTable","pick","target","trial","rt","correct"
"1","anon0_label","1","cue_strength_between","label","Elephant","car","bear","inner","car","left","train",4584,1
"2","anon0_label","2","cue_strength_between","label","Pig","duck","ball","outer","ball","right","train",7857,1
"3","anon0_look","3","cue_strength_between","look","Bunny","t10","t3","outer","t10","left","1",1721,1
"4","anon0_look","4","cue_strength_between","look","Frog","t12","t16","inner","t12","left","2",10121,1
"5","anon0_look","5","cue_strength_between","look","Monkey","t15","t5","outer","t5","right","3",4570,1
"6","anon0_look","6","cue_strength_between","look","Mouse","t17","t1","inner","t1","right","4",2129,1
"7","anon0_look","7","cue_strength_between","look","Elephant","t11","t7","outer","t7","right","5",1281,1
"8","anon0_look","8","cue_strength_between","look","Bear","t4","t14","outer","t4","left","6",985,1
"9","anon0_look","9","cue_strength_between","look","Dog","t9","t2","inner","t2","right","7",785,1
"10","anon0_look","10","cue_strength_between","look","Pig","t8","t6","inner","t8","left","8",1505,1
"11","anon1_label","1","cue_strength_between","label","Elephant","car","bear","inner","car","left","train",5020,1
"12","anon1_label","2","cue_strength_between","label","Pig","duck","ball","outer","ball","right","train",4602,1
"13","anon1_look","3","cue_strength_between","look","Mouse","t7","t3","outer","t3","right","1",1567,1
"14","anon1_look","4","cue_strength_between","look","Bunny","t5","t9","outer","t9","right","2",1242,1
"15","anon1_look","5","cue_strength_between","look","Bear","t12","t8","outer","t12","left","3",1623,1
"16","anon1_look","6","cue_strength_between","look","Tiger","t2","t11","outer","t2","left","4",1411,1
"17","anon1_look","7","cue_strength_between","look","Pig","t10","t1","inner","t1","right","5",1002,1
"18","anon1_look","8","cue_strength_between","look","Dog","t15","t16","outer","t16","right","6",763,1
"19","anon1_look","9","cue_strength_between","look","Elephant","t17","t14","outer","t17","left","7",948,1
"20","anon1_look","10","cue_strength_between","look","Monkey","t4","t6","inner","t4","left","8",1389,1
"21","anon10_label","1","cue_strength_between","label","Elephant","car","bear","inner","car","left","train",8120,1
"22","anon10_label","2","cue_strength_between","label","Pig","duck","ball","outer","ball","right","train",5266,1
"23","anon10_look","3","cue_strength_between","look","Tiger","t5","t4","inner","t5","left","1",5052,1
"24","anon10_look","4","cue_strength_between","look","Monkey","t1","t3","outer","t3","right","2",2316,1
"25","anon10_look","5","cue_strength_between","look","Frog","t11","t15","inner","t15","right","3",1764,1
"26","anon10_look","6","cue_strength_between","look","Bunny","t2","t9","inner","t2","left","4",1080,1
"27","anon10_look","7","cue_strength_between","look","Pig","t12","t14","outer","t12","left","5",1651,1
"28","anon10_look","8","cue_strength_between","look","Bear","t6","t7","outer","t6","left","6",2306,1
"29","anon10_look","9","cue_strength_between","look","Elephant","t16","t10","outer","t10","right","7",1088,1
"30","anon10_look","10","cue_strength_between","look","Dog","t17","t8","inner","t8","right","8",1117,1
"31","anon11_label","1","cue_strength_between","label","Elephant","car","bear","inner","car","left","train",8473,1
"32","anon11_label","2","cue_strength_between","label","Pig","duck","ball","outer","ball","right","train",9270,1
"33","anon11_look","3","cue_strength_between","look","Cat","t9","t12","inner","t12","right","1",8137,1
"34","anon11_look","4","cue_strength_between","look","Bunny","t16","t17","inner","t16","left","2",2918,1
"35","anon11_look","5","cue_strength_between","look","Mouse","t5","t14","inner","t5","left","3",2318,1
"36","anon11_look","6","cue_strength_between","look","Tiger","t7","t6","outer","t7","left","4",2041,1
"37","anon11_look","7","cue_strength_between","look","Dog","t3","t4","outer","t3","left","5",1148,1
"38","anon11_look","8","cue_strength_between","look","Elephant","t10","t11","outer","t11","right","6",1607,1
"39","anon11_look","9","cue_strength_between","look","Monkey","t15","t2","inner","t2","right","7",2384,1
"40","anon11_look","10","cue_strength_between","look","Frog","t8","t1","inner","t1","right","8",1073,1
"41","anon12_label","1","cue_strength_between","label","Elephant","car","bear","inner","car","left","train",7729,1
"42","anon12_label","2","cue_strength_between","label","Pig","duck","ball","outer","ball","right","train",4169,1
"43","anon12_look","3","cue_strength_between","look","Tiger","t6","t1","outer","t6","right","1",2683,0
"44","anon12_look","4","cue_strength_between","look","Bunny","t7","t3","outer","t3","left","2",1218,0
"45","anon12_look","5","cue_strength_between","look","Frog","t12","t5","outer","t5","left","3",1738,0
"46","anon12_look","6","cue_strength_between","look","Monkey","t4","t14","outer","t4","left","4",1130,1
"47","anon12_look","7","cue_strength_between","look","Cat","t16","t2","inner","t2","right","5",1498,1
"48","anon12_look","8","cue_strength_between","look","Bear","t15","t17","inner","t15","left","6",1481,1
"49","anon12_look","9","cue_strength_between","look","Elephant","t11","t10","outer","t10","right","7",1674,1
"50","anon12_look","10","cue_strength_between","look","Sheep","t9","t8","inner","t8","right","8",1450,1
"51","anon13_label","1","cue_strength_between","label","Elephant","car","bear","inner","car","left","train",9446,1
"52","anon13_label","2","cue_strength_between","label","Pig","duck","ball","outer","ball","right","train",4978,1
"53","anon13_look","3","cue_strength_between","look","Dog","t8","t14","outer","t8","left","1",3104,1
"54","anon13_look","4","cue_strength_between","look","Sheep","t1","t16","inner","t16","right","2",1437,1
"55","anon13_look","5","cue_strength_between","look","Monkey","t5","t11","inner","t11","right","3",1088,1
"56","anon13_look","6","cue_strength_between","look","Mouse","t12","t9","inner","t9","right","4",5469,1
"57","anon13_look","7","cue_strength_between","look","Bunny","t17","t6","inner","t17","left","5",1827,1
"58","anon13_look","8","cue_strength_between","look","Tiger","t15","t7","outer","t15","left","6",3358,1
"59","anon13_look","9","cue_strength_between","look","Bear","t3","t2","inner","t3","left","7",9997,1
"60","anon13_look","10","cue_strength_between","look","Cat","t4","t10","inner","t4","right","8",8032,0
"61","anon14_label","1","cue_strength_between","label","Elephant","car","bear","inner","car","left","train",5199,1
"62","anon14_label","2","cue_strength_between","label","Pig","duck","ball","outer","ball","right","train",5126,1
"63","anon14_look","3","cue_strength_between","look","Elephant","t16","t7","inner","t7","right","1",2614,1
"64","anon14_look","4","cue_strength_between","look","Frog","t14","t9","inner","t9","right","2",2021,1
"65","anon14_look","5","cue_strength_between","look","Mouse","t12","t6","inner","t12","left","3",3173,1
