"","id","alltrial","experiment","condition","agent","leftObject","rightObject","targetOnTable","pick","target","trial","rt","correct"
"1","anon0_label","1","cue_strength_between","label","Elephant","car","bear","inner","car","left","train",5358,1
"2","anon0_label","2","cue_strength_between","label","Pig","duck","ball","outer","ball","right","train",5258,1
"3","anon0_lookLabel","3","cue_strength_between","lookLabel","Cat","t2","t12","outer","t12","right","1",7148,1
"4","anon0_lookLabel","4","cue_strength_between","lookLabel","Mouse","t4","t15","inner","t15","right","2",4568,1
"5","anon0_lookLabel","5","cue_strength_between","lookLabel","Elephant","t14","t1","outer","t14","left","3",5461,1
"6","anon0_lookLabel","6","cue_strength_between","lookLabel","Tiger","t3","t11","outer","t11","right","4",4329,1
"7","anon0_lookLabel","7","cue_strength_between","lookLabel","Monkey","t5","t7","outer","t7","right","5",4426,1
"8","anon0_lookLabel","8","cue_strength_between","lookLabel","Dog","t16","t8","inner","t16","left","6",4183,1
"9","anon0_lookLabel","9","cue_strength_between","lookLabel","Bear","t10","t9","outer","t10","left","7",4590,1
"10","anon0_lookLabel","10","cue_strength_between","lookLabel","Bunny","t17","t6","outer","t17","left","8",4837,1
"11","anon1_label","1","cue_strength_between","label","Elephant","car","bear","inner","car","left","train",6066,1
"12","anon1_label","2","cue_strength_between","label","Pig","duck","ball","outer","ball","right","train",4870,1
"13","anon1_lookLabel","3","cue_strength_between","lookLabel","Frog","t4","t16","inner","t4","left","1",7012,1
"14","anon1_lookLabel","4","cue_strength_between","lookLabel","Elephant","t8","t9","outer","t9","right","2",12181,1
"15","anon1_lookLabel","5","cue_strength_between","lookLabel","Cat","t3","t11","outer","t3","left","3",13663,1
"16","anon1_lookLabel","6","cue_strength_between","lookLabel","Dog","t12","t10","inner","t12","left","4",4865,1
"17","anon1_lookLabel","7","cue_strength_between","lookLabel","Sheep","t5","t14","inner","t14","right","5",5090,1
"18","anon1_lookLabel","8","cue_strength_between","lookLabel","Mouse","t6","t7","inner","t7","right","6",5146,1
"19","anon1_lookLabel","9","cue_strength_between","lookLabel","Tiger","t17","t2","inner","t17","left","7",4674,1
"20","anon1_lookLabel","10","cue_strength_between","lookLabel","Bear","t15","t1","inner","t1","right","8",4262,1
"21","anon10_label","1","cue_strength_between","label","Elephant","car","bear","inner","car","left","train",5220,1
"22","anon10_label","2","cue_strength_between","label","Pig","duck","ball","outer","ball","right","train",4366,1
"23","anon10_lookLabel","3","cue_strength_between","lookLabel","Cat","t9","t3","outer","t9","left","1",4291,1
"24","anon10_lookLabel","4","cue_strength_between","lookLabel","Bunny","t10","t5","outer","t5","right","2",4134,1
"25","anon10_lookLabel","5","cue_strength_between","lookLabel","Mouse","t7","t1","inner","t1","right","3",4363,1
"26","anon10_lookLabel","6","cue_strength_between","lookLabel","Monkey","t12","t16","outer","t12","left","4",4016,1
"27","anon10_lookLabel","7","cue_strength_between","lookLabel","Pig","t6","t15","outer","t6","left","5",4095,1
"28","anon10_lookLabel","8","cue_strength_between","lookLabel","Dog","t4","t8","outer","t8","right","6",4405,1
"29","anon10_lookLabel","9","cue_strength_between","lookLabel","Sheep","t14","t11","inner","t11","right","7",5018,1
"30","anon10_lookLabel","10","cue_strength_between","lookLabel","Frog","t17","t2","outer","t17","left","8",4353,1
"31","anon11_label","1","cue_strength_between","label","Elephant","car","bear","inner","car","left","train",4851,1
"32","anon11_label","2","cue_strength_between","label","Pig","duck","ball","outer","ball","right","train",6003,1
"33","anon11_lookLabel","3","cue_strength_between","lookLabel","Frog","t1","t17","inner","t17","right","1",6271,1
"34","anon11_lookLabel","4","cue_strength_between","lookLabel","Elephant","t2","t3","inner","t2","left","2",5389,1
"35","anon11_lookLabel","5","cue_strength_between","lookLabel","Pig","t8","t4","inner","t4","right","3",4373,1
"36","anon11_lookLabel","6","cue_strength_between","lookLabel","Cat","t10","t6","inner","t6","right","4",4411,1
"37","anon11_lookLabel","7","cue_strength_between","lookLabel","Monkey","t5","t15","inner","t5","left","5",4683,1
