"","id","alltrial","experiment","condition","agent","leftObject","rightObject","targetOnTable","pick","target","trial","rt","correct"
"1","anon0_label","1","cue_strength_between","label","Elephant","car","bear","inner","car","left","train",5861,1
"2","anon0_label","2","cue_strength_between","label","Pig","duck","ball","outer","ball","right","train",4693,1
"3","anon0_point","3","cue_strength_between","point","Bunny","t4","t7","inner","t7","left","1",3504,0
"4","anon0_point","4","cue_strength_between","point","Frog","t1","t8","outer","t1","left","2",1631,1
"5","anon0_point","5","cue_strength_between","point","Pig","t12","t11","outer","t12","right","3",1500,0
"6","anon0_point","6","cue_strength_between","point","Dog","t2","t14","outer","t14","left","4",1361,0
"7","anon0_point","7","cue_strength_between","point","Sheep","t9","t15","outer","t15","left","5",1204,0
"8","anon0_point","8","cue_strength_between","point","Bear","t17","t16","inner","t16","right","6",1147,1
"9","anon0_point","9","cue_strength_between","point","Cat","t3","t5","outer","t3","right","7",1196,0
"10","anon0_point","10","cue_strength_between","point","Monkey","t6","t10","outer","t10","right","8",2301,1
"11","anon1_label","1","cue_strength_between","label","Elephant","car","bear","inner","bear","left","train",5183,0
"12","anon1_label","2","cue_strength_between","label","Pig","duck","ball","outer","duck","right","train",4669,0
"13","anon1_point","3","cue_strength_between","point","Bear","t8","t4","inner","t8","left","1",2095,1
"14","anon1_point","4","cue_strength_between","point","Tiger","t2","t6","outer","t2","left","2",2397,1
"15","anon1_point","5","cue_strength_between","point","Cat","t14","t1","inner","t14","right","3",2005,1
"16","anon1_point","6","cue_strength_between","point","Bunny","t11","t7","outer","t7","right","4",2217,1
"17","anon1_point","7","cue_strength_between","point","Dog","t15","t5","inner","t15","right","5",1105,0
"18","anon1_point","8","cue_strength_between","point","Sheep","t9","t16","outer","t16","left","6",3109,0
"19","anon1_point","9","cue_strength_between","point","Pig","t3","t17","outer","t3","right","7",1093,0
"20","anon1_point","10","cue_strength_between","point","Monkey","t12","t10","outer","t10","left","8",791,0
"21","anon10_label","1","cue_strength_between","label","Elephant","car","bear","inner","car","left","train",5126,1
"22","anon10_label","2","cue_strength_between","label","Pig","duck","ball","outer","ball","right","train",7068,1
"23","anon10_point","3","cue_strength_between","point","Tiger","t10","t9","outer","t10","left","1",3934,1
"24","anon10_point","4","cue_strength_between","point","Bunny","t11","t16","inner","t16","right","2",3372,1
"25","anon10_point","5","cue_strength_between","point","Frog","t2","t15","inner","t2","left","3",1798,1
"26","anon10_point","6","cue_strength_between","point","Dog","t6","t14","outer","t6","left","4",2150,1
"27","anon10_point","7","cue_strength_between","point","Elephant","t3","t5","outer","t5","right","5",1935,1
"28","anon10_point","8","cue_strength_between","point","Bear","t12","t7","inner","t7","right","6",1664,1
"29","anon10_point","9","cue_strength_between","point","Pig","t17","t8","outer","t17","left","7",1758,1
"30","anon10_point","10","cue_strength_between","point","Mouse","t4","t1","inner","t1","right","8",1493,1
"31","anon11_label","1","cue_strength_between","label","Elephant","car","bear","inner","car","left","train",6966,1
"32","anon11_label","2","cue_strength_between","label","Pig","duck","ball","outer","ball","right","train",5348,1
"33","anon11_point","3","cue_strength_between","point","Pig","t14","t2","outer","t2","left","1",4010,0
"34","anon11_point","4","cue_strength_between","point","Bunny","t9","t1","inner","t9","left","2",2244,1
"35","anon11_point","5","cue_strength_between","point","Elephant","t10","t3","outer","t3","left","3",1286,0
"36","anon11_point","6","cue_strength_between","point","Frog","t15","t5","inner","t15","right","4",1510,0
"37","anon11_point","7","cue_strength_between","point","Mouse","t11","t4","outer","t11","right","5",958,0
"38","anon11_point","8","cue_strength_between","point","Tiger","t17","t7","inner","t7","right","6",924,1
"39","anon11_point","9","cue_strength_between","point","Monkey","t12","t8","inner","t12","left","7",1300,1
"40","anon11_point","10","cue_strength_between","point","Cat","t16","t6","outer","t16","right","8",1170,0
"41","anon12_label","1","cue_strength_between","label","Elephant","car","bear","inner","car","left","train",4966,1
"42","anon12_label","2","cue_strength_between","label","Pig","duck","ball","outer","ball","right","train",4714,1
"43","anon12_point","3","cue_strength_between","point","Mouse","t15","t3","outer","t3","right","1",8873,1
"44","anon12_point","4","cue_strength_between","point","Frog","t1","t16","outer","t16","right","2",3242,1
"45","anon12_point","5","cue_strength_between","point","Bunny","t2","t5","inner","t2","left","3",2073,1
"46","anon12_point","6","cue_strength_between","point","Monkey","t10","t7","outer","t7","right","4",1593,1
"47","anon12_point","7","cue_strength_between","point","Dog","t12","t17","outer","t12","left","5",4145,1
"48","anon12_point","8","cue_strength_between","point","Cat","t11","t8","inner","t11","left","6",2714,1
"49","anon12_point","9","cue_strength_between","point","Tiger","t9","t14","inner","t9","left","7",1281,1
"50","anon12_point","10","cue_strength_between","point","Sheep","t4","t6","inner","t6","right","8",1721,1
"51","anon13_label","1","cue_strength_between","label","Elephant","car","bear","inner","car","left","train",6281,1
"52","anon13_label","2","cue_strength_between","label","Pig","duck","ball","outer","ball","right","train",10426,1
"53","anon13_point","3","cue_strength_between","point","Monkey","t11","t12","inner","t12","right","1",3757,1
"54","anon13_point","4","cue_strength_between","point","Dog","t2","t5","inner","t2","left","2",1885,1
"55","anon13_point","5","cue_strength_between","point","Mouse","t7","t17","inner","t17","right","3",1698,1
"56","anon13_point","6","cue_strength_between","point","Bunny","t14","t4","inner","t14","left","4",1417,1
"57","anon13_point","7","cue_strength_between","point","Cat","t15","t6","outer","t6","left","5",2315,0
"58","anon13_point","8","cue_strength_between","point","Sheep","t3","t10","inner","t10","right","6",1108,1
