"","id","alltrial","experiment","condition","agent","leftObject","rightObject","targetOnTable","pick","target","trial","rt","correct"
"1","anon0_label","1","cue_strength_between","label","Elephant","car","bear","inner","car","left","train",6099,1
"2","anon0_label","2","cue_strength_between","label","Pig","duck","ball","outer","duck","right","train",4313,0
"3","anon0_pointLabel","3","cue_strength_between","pointLabel","Tiger","t7","t15","outer","t15","right","1",4058,1
"4","anon0_pointLabel","4","cue_strength_between","pointLabel","Mouse","t11","t9","inner","t9","right","2",4169,1
"5","anon0_pointLabel","5","cue_strength_between","pointLabel","Bunny","t10","t12","outer","t10","left","3",4146,1
"6","anon0_pointLabel","6","cue_strength_between","pointLabel","Dog","t2","t8","outer","t2","left","4",4280,1
"7","anon0_pointLabel","7","cue_strength_between","pointLabel","Bear","t16","t1","inner","t1","right","5",5337,1
"8","anon0_pointLabel","8","cue_strength_between","pointLabel","Pig","t5","t6","inner","t5","left","6",4259,1
"9","anon0_pointLabel","9","cue_strength_between","pointLabel","Sheep","t17","t3","outer","t17","left","7",4719,1
"10","anon0_pointLabel","10","cue_strength_between","pointLabel","Cat","t4","t14","outer","t14","right","8",4385,1
"11","anon1_label","1","cue_strength_between","label","Elephant","car","bear","inner","car","left","train",10690,1
"12","anon1_label","2","cue_strength_between","label","Pig","duck","ball","outer","ball","right","train",5446,1
"13","anon1_pointLabel","3","cue_strength_between","pointLabel","Cat","t6","t14","outer","t6","left","1",6181,1
"14","anon1_pointLabel","4","cue_strength_between","pointLabel","Bunny","t15","t9","outer","t15","left","2",5674,1
"15","anon1_pointLabel","5","cue_strength_between","pointLabel","Dog","t2","t4","outer","t4","right","3",5558,1
"16","anon1_pointLabel","6","cue_strength_between","pointLabel","Sheep","t5","t12","outer","t12","right","4",5634,1
"17","anon1_pointLabel","7","cue_strength_between","pointLabel","Monkey","t1","t11","outer","t11","right","5",4712,1
"18","anon1_pointLabel","8","cue_strength_between","pointLabel","Pig","t16","t7","inner","t16","left","6",5025,1
"19","anon1_pointLabel","9","cue_strength_between","pointLabel","Bear","t8","t10","outer","t8","left","7",5252,1
"20","anon1_pointLabel","10","cue_strength_between","pointLabel","Mouse","t3","t17","inner","t17","right","8",5689,1
"21","anon10_label","1","cue_strength_between","label","Elephant","car","bear","inner","car","left","train",4878,1
"22","anon10_label","2","cue_strength_between","label","Pig","duck","ball","outer","ball","right","train",5673,1
"23","anon10_pointLabel","3","cue_strength_between","pointLabel","Bunny","t5","t16","inner","t16","right","1",4775,1
"24","anon10_pointLabel","4","cue_strength_between","pointLabel","Bear","t7","t3","outer","t7","left","2",5386,1
"25","anon10_pointLabel","5","cue_strength_between","pointLabel","Mouse","t4","t14","inner","t14","right","3",4759,1
"26","anon10_pointLabel","6","cue_strength_between","pointLabel","Sheep","t2","t1","outer","t1","right","4",4366,1
"27","anon10_pointLabel","7","cue_strength_between","pointLabel","Frog","t11","t6","outer","t11","left","5",4692,1
"28","anon10_pointLabel","8","cue_strength_between","pointLabel","Pig","t15","t12","inner","t15","left","6",4533,1
"29","anon10_pointLabel","9","cue_strength_between","pointLabel","Monkey","t10","t9","inner","t9","right","7",4067,1
"30","anon10_pointLabel","10","cue_strength_between","pointLabel","Dog","t17","t8","inner","t17","left","8",7550,1
"31","anon11_label","1","cue_strength_between","label","Elephant","car","bear","inner","car","left","train",5076,1
"32","anon11_label","2","cue_strength_between","label","Pig","duck","ball","outer","ball","right","train",4840,1
"33","anon11_pointLabel","3","cue_strength_between","pointLabel","Sheep","t12","t15","outer","t12","left","1",9319,1
"34","anon11_pointLabel","4","cue_strength_between","pointLabel","Tiger","t8","t10","inner","t10","right","2",5001,1
"35","anon11_pointLabel","5","cue_strength_between","pointLabel","Cat","t3","t9","inner","t3","left","3",4636,1
"36","anon11_pointLabel","6","cue_strength_between","pointLabel","Monkey","t5","t4","outer","t4","left","4",5910,0
"37","anon11_pointLabel","7","cue_strength_between","pointLabel","Elephant","t6","t2","outer","t6","right","5",5438,0
"38","anon11_pointLabel","8","cue_strength_between","pointLabel","Pig","t16","t11","outer","t11","left","6",4910,0
"39","anon11_pointLabel","9","cue_strength_between","pointLabel","Mouse","t14","t17","outer","t17","right","7",4638,1
"40","anon11_pointLabel","10","cue_strength_between","pointLabel","Dog","t1","t7","outer","t1","right","8",4460,0
"41","anon12_label","1","cue_strength_between","label","Elephant","car","bear","inner","car","left","train",5581,1
"42","anon12_label","2","cue_strength_between","label","Pig","duck","ball","outer","ball","right","train",4503,1
"43","anon12_pointLabel","3","cue_strength_between","pointLabel","Bear","t11","t16","inner","t11","left","1",5139,1
"44","anon12_pointLabel","4","cue_strength_between","pointLabel","Mouse","t12","t6","inner","t12","right","2",4520,0
"45","anon12_pointLabel","5","cue_strength_between","pointLabel","Dog","t10","t4","inner","t10","right","3",4165,0
"46","anon12_pointLabel","6","cue_strength_between","pointLabel","Bunny","t9","t14","inner","t14","left","4",4409,0
"47","anon12_pointLabel","7","cue_strength_between","pointLabel","Pig","t3","t17","outer","t17","right","5",4854,1
"48","anon12_pointLabel","8","cue_strength_between","pointLabel","Tiger","t1","t2","inner","t2","right","6",4420,1
"49","anon12_pointLabel","9","cue_strength_between","pointLabel","Sheep","t8","t5","outer","t8","left","7",4152,1
"50","anon12_pointLabel","10","cue_strength_between","pointLabel","Frog","t15","t7","outer","t15","left","8",8848,1
"51","anon13_label","1","cue_strength_between","label","Elephant","car","bear","inner","car","left","train",12360,1
"52","anon13_label","2","cue_strength_between","label","Pig","duck","ball","outer","ball","right","train",13776,1
"53","anon13_pointLabel","3","cue_strength_between","pointLabel","Frog","t1","t15","inner","t1","left","1",13687,1
"54","anon13_pointLabel","4","cue_strength_between","pointLabel","Sheep","t7","t3","outer","t7","right","2",10926,0
"55","anon13_pointLabel","5","cue_strength_between","pointLabel","Mouse","t12","t4","inner","t12","left","3",14372,1
"56","anon13_pointLabel","6","cue_strength_between","pointLabel","Pig","t6","t5","inner","t6","left","4",16129,1
"57","anon13_pointLabel","7","cue_strength_between","pointLabel","Monkey","t11","t9","outer","t9","left","5",10041,0
"58","anon13_pointLabel","8","cue_strength_between","pointLabel","Bunny","t10","t14","inner","t14","right","6",12297,1
"59","anon13_pointLabel","9","cue_strength_between","pointLabel","Cat","t2","t8","inner","t2","right","7",11697,0
"60","anon13_pointLabel","10","cue_strength_between","pointLabel","Tiger","t17","t16","outer","t17","right","8",12124,0
"61","anon14_label","1","cue_strength_between","label","Elephant","car","bear","inner","car","left","train",8495,1
"62","anon14_label","2","cue_strength_between","label","Pig","duck","ball","outer","ball","right","train",4843,1
"63","anon14_pointLabel","3","cue_strength_between","pointLabel","Bunny","t5","t12","outer","t5","left","1",11060,1
"64","anon14_pointLabel","4","cue_strength_between","pointLabel","Frog","t2","t6","inner","t6","right","2",5101,1
"65","anon14_pointLabel","5","cue_strength_between","pointLabel","Pig","t1","t17","outer","t17","right","3",5258,1
"66","anon14_pointLabel","6","cue_strength_between","pointLabel","Elephant","t14","t7","outer","t7","right","4",5217,1
"67","anon14_pointLabel","7","cue_strength_between","pointLabel","Monkey","t8","t16","inner","t8","left","5",9598,1
"68","anon14_pointLabel","8","cue_strength_between","pointLabel","Bear","t4","t11","outer","t4","left","6",4895,1
"69","anon14_pointLabel","9","cue_strength_between","pointLabel","Mouse","t3","t9","outer","t9","right","7",4963,1
"70","anon14_pointLabel","10","cue_strength_between","pointLabel","Tiger","t15","t10","inner","t15","left","8",4229,1
"71","anon2_label","1","cue_strength_between","label","Elephant","car","bear","inner","car","left","train",6418,1
"72","anon2_label","2","cue_strength_between","label","Pig","duck","ball","outer","ball","right","train",5384,1
"73","anon2_pointLabel","3","cue_strength_between","pointLabel","Bunny","t6","t3","outer","t3","right","1",4977,1
"74","anon2_pointLabel","4","cue_strength_between","pointLabel","Frog","t9","t16","inner","t9","right","2",5403,0
"75","anon2_pointLabel","5","cue_strength_between","pointLabel","Cat","t8","t17","inner","t8","left","3",5322,1
"76","anon2_pointLabel","6","cue_strength_between","pointLabel","Monkey","t15","t10","inner","t10","right","4",4145,1
"77","anon2_pointLabel","7","cue_strength_between","pointLabel","Pig","t14","t12","outer","t14","left","5",4403,1
"78","anon2_pointLabel","8","cue_strength_between","pointLabel","Bear","t4","t2","outer","t4","left","6",7786,1
"79","anon2_pointLabel","9","cue_strength_between","pointLabel","Dog","t5","t11","outer","t11","right","7",4562,1
"80","anon2_pointLabel","10","cue_strength_between","pointLabel","Elephant","t1","t7","outer","t7","left","8",6058,0
"81","anon3_label","1","cue_strength_between","label","Elephant","car","bear","inner","car","left","train",12204,1
"82","anon3_label","2","cue_strength_between","label","Pig","duck","ball","outer","ball","right","train",11094,1
"83","anon3_pointLabel","3","cue_strength_between","pointLabel","Elephant","t10","t3","inner","t3","right","1",12388,1
"84","anon3_pointLabel","4","cue_strength_between","pointLabel","Tiger","t12","t2","outer","t2","left","2",5688,0
"85","anon3_pointLabel","5","cue_strength_between","pointLabel","Monkey","t15","t1","outer","t1","left","3",6146,0
"86","anon3_pointLabel","6","cue_strength_between","pointLabel","Dog","t8","t4","inner","t4","right","4",5466,1
"87","anon3_pointLabel","7","cue_strength_between","pointLabel","Frog","t16","t6","inner","t6","right","5",5672,1
"88","anon3_pointLabel","8","cue_strength_between","pointLabel","Bunny","t9","t7","inner","t9","left","6",5064,1
"89","anon3_pointLabel","9","cue_strength_between","pointLabel","Mouse","t17","t5","outer","t5","left","7",4920,0
"90","anon3_pointLabel","10","cue_strength_between","pointLabel","Pig","t14","t11","inner","t11","right","8",4624,1
"91","anon4_label","1","cue_strength_between","label","Elephant","car","bear","inner","car","left","train",5492,1
"92","anon4_label","2","cue_strength_between","label","Pig","duck","ball","outer","ball","right","train",5825,1
"93","anon4_pointLabel","3","cue_strength_between","pointLabel","Elephant","t2","t3","inner","t2","left","1",8546,1
"94","anon4_pointLabel","4","cue_strength_between","pointLabel","Mouse","t17","t4","outer","t4","right","2",8176,1
"95","anon4_pointLabel","5","cue_strength_between","pointLabel","Cat","t1","t9","outer","t9","right","3",5676,1
"96","anon4_pointLabel","6","cue_strength_between","pointLabel","Monkey","t7","t5","inner","t7","left","4",4716,1
"97","anon4_pointLabel","7","cue_strength_between","pointLabel","Pig","t11","t15","inner","t11","left","5",5787,1
"98","anon4_pointLabel","8","cue_strength_between","pointLabel","Bunny","t6","t8","outer","t8","right","6",6104,1
"99","anon4_pointLabel","9","cue_strength_between","pointLabel","Dog","t10","t14","inner","t14","right","7",4086,1
"100","anon4_pointLabel","10","cue_strength_between","pointLabel","Bear","t16","t12","outer","t16","left","8",4314,1
"101","anon5_label","1","cue_strength_between","label","Elephant","car","bear","inner","car","left","train",13320,1
"102","anon5_label","2","cue_strength_between","label","Pig","duck","ball","outer","ball","right","train",9736,1
"103","anon5_pointLabel","3","cue_strength_between","pointLabel","Mouse","t10","t5","outer","t5","right","1",14522,1
"104","anon5_pointLabel","4","cue_strength_between","pointLabel","Pig","t2","t9","outer","t9","left","2",10578,0
"105","anon5_pointLabel","5","cue_strength_between","pointLabel","Bunny","t14","t4","inner","t14","left","3",11037,1
"106","anon5_pointLabel","6","cue_strength_between","pointLabel","Frog","t3","t11","inner","t3","left","4",10453,1
"107","anon5_pointLabel","7","cue_strength_between","pointLabel","Monkey","t17","t7","inner","t17","left","5",11305,1
"108","anon5_pointLabel","8","cue_strength_between","pointLabel","Dog","t15","t1","inner","t15","right","6",10338,1
"109","anon5_pointLabel","9","cue_strength_between","pointLabel","Sheep","t12","t6","outer","t12","right","7",11494,0
"110","anon5_pointLabel","10","cue_strength_between","pointLabel","Cat","t16","t8","outer","t16","right","8",10547,0
"111","anon6_label","1","cue_strength_between","label","Elephant","car","bear","inner","car","left","train",4092,1
"112","anon6_label","2","cue_strength_between","label","Pig","duck","ball","outer","ball","right","train",4468,1
"113","anon6_pointLabel","3","cue_strength_between","pointLabel","Frog","t2","t16","inner","t2","left","1",4240,1
"114","anon6_pointLabel","4","cue_strength_between","pointLabel","Elephant","t11","t17","inner","t17","right","2",4418,1
"115","anon6_pointLabel","5","cue_strength_between","pointLabel","Mouse","t9","t15","outer","t9","right","3",4550,0
"116","anon6_pointLabel","6","cue_strength_between","pointLabel","Dog","t12","t3","outer","t12","right","4",4487,0
"117","anon6_pointLabel","7","cue_strength_between","pointLabel","Cat","t8","t14","inner","t8","left","5",4673,1
"118","anon6_pointLabel","8","cue_strength_between","pointLabel","Tiger","t4","t5","inner","t4","left","6",4182,1
"119","anon6_pointLabel","9","cue_strength_between","pointLabel","Sheep","t7","t10","outer","t7","right","7",4703,0
"120","anon6_pointLabel","10","cue_strength_between","pointLabel","Bear","t6","t1","outer","t1","left","8",4656,0
"121","anon7_label","1","cue_strength_between","label","Elephant","car","bear","inner","car","left","train",4106,1
"122","anon7_label","2","cue_strength_between","label","Pig","duck","ball","outer","ball","right","train",6729,1
"123","anon7_pointLabel","3","cue_strength_between","pointLabel","Cat","t10","t12","outer","t10","left","1",4305,1
"124","anon7_pointLabel","4","cue_strength_between","pointLabel","Mouse","t7","t4","inner","t7","left","2",4043,1
"125","anon7_pointLabel","5","cue_strength_between","pointLabel","Elephant","t3","t6","outer","t3","left","3",4531,1
"126","anon7_pointLabel","6","cue_strength_between","pointLabel","Tiger","t11","t17","inner","t17","right","4",4248,1
"127","anon7_pointLabel","7","cue_strength_between","pointLabel","Sheep","t16","t2","outer","t16","left","5",4275,1
"128","anon7_pointLabel","8","cue_strength_between","pointLabel","Pig","t14","t1","inner","t1","right","6",4376,1
"129","anon7_pointLabel","9","cue_strength_between","pointLabel","Dog","t15","t8","outer","t8","right","7",4027,1
"130","anon7_pointLabel","10","cue_strength_between","pointLabel","Monkey","t9","t5","outer","t5","right","8",4129,1
"131","anon8_label","1","cue_strength_between","label","Elephant","car","bear","inner","car","left","train",4500,1
"132","anon8_label","2","cue_strength_between","label","Pig","duck","ball","outer","ball","right","train",4378,1
"133","anon8_pointLabel","3","cue_strength_between","pointLabel","Monkey","t12","t9","inner","t12","left","1",4622,1
"134","anon8_pointLabel","4","cue_strength_between","pointLabel","Frog","t6","t15","outer","t15","right","2",5999,1
"135","anon8_pointLabel","5","cue_strength_between","pointLabel","Elephant","t11","t10","inner","t10","right","3",4547,1
"136","anon8_pointLabel","6","cue_strength_between","pointLabel","Mouse","t14","t4","outer","t4","right","4",4925,1
"137","anon8_pointLabel","7","cue_strength_between","pointLabel","Cat","t16","t8","inner","t16","left","5",4320,1
"138","anon8_pointLabel","8","cue_strength_between","pointLabel","Bunny","t3","t17","outer","t17","right","6",4158,1
"139","anon8_pointLabel","9","cue_strength_between","pointLabel","Tiger","t5","t7","outer","t5","left","7",4306,1
"140","anon8_pointLabel","10","cue_strength_between","pointLabel","Dog","t1","t2","inner","t1","left","8",4491,1
"141","anon9_label","1","cue_strength_between","label","Elephant","car","bear","inner","car","left","train",4455,1
"142","anon9_label","2","cue_strength_between","label","Pig","duck","ball","outer","ball","right","train",4380,1
"143","anon9_pointLabel","3","cue_strength_between","pointLabel","Sheep","t10","t1","inner","t1","right","1",4344,1
"144","anon9_pointLabel","4","cue_strength_between","pointLabel","Frog","t8","t3","inner","t3","right","2",4557,1
"145","anon9_pointLabel","5","cue_strength_between","pointLabel","Tiger","t14","t5","outer","t14","left","3",4946,1
