"","id","alltrial","experiment","condition","agent","leftObject","rightObject","targetOnTable","pick","target","trial","rt","correct"
"1","anon0_cue_strength_within","1","cue_strength_within","label","Elephant","car","bear","inner","car","left","train",8144,1
"2","anon0_cue_strength_within","2","cue_strength_within","label","Pig","duck","ball","outer","ball","right","train",4960,1
"3","anon0_cue_strength_within","3","cue_strength_within","pointLabel","Bunny","t6","t14","outer","t14","right","1",5827,1
"4","anon0_cue_strength_within","4","cue_strength_within","pointLabel","Tiger","t4","t1","outer","t4","left","2",4013,1
"5","anon0_cue_strength_within","5","cue_strength_within","point","Dog","t10","t12","inner","t10","left","3",3587,1
"6","anon0_cue_strength_within","6","cue_strength_within","point","Monkey","t3","t8","outer","t8","right","4",1690,1
"7","anon0_cue_strength_within","7","cue_strength_within","look","Cat","t11","t7","outer","t11","left","5",1822,1
"8","anon0_cue_strength_within","8","cue_strength_within","lookLabel","Bear","t15","t9","inner","t15","left","6",9870,1
"9","anon0_cue_strength_within","9","cue_strength_within","lookLabel","Mouse","t16","t2","outer","t2","right","7",4123,1
"10","anon0_cue_strength_within","10","cue_strength_within","look","Elephant","t17","t5","outer","t5","right","8",1813,1
"11","anon1_cue_strength_within","1","cue_strength_within","label","Elephant","car","bear","inner","car","left","train",12173,1
"12","anon1_cue_strength_within","2","cue_strength_within","label","Pig","duck","ball","outer","ball","right","train",8300,1
"13","anon1_cue_strength_within","3","cue_strength_within","look","Bunny","t10","t6","inner","t10","left","1",5011,1
"14","anon1_cue_strength_within","4","cue_strength_within","point","Tiger","t16","t4","inner","t16","left","2",2645,1
"15","anon1_cue_strength_within","5","cue_strength_within","point","Bear","t8","t15","inner","t15","right","3",1867,1
"16","anon1_cue_strength_within","6","cue_strength_within","lookLabel","Frog","t1","t14","inner","t14","right","4",11668,1
"17","anon1_cue_strength_within","7","cue_strength_within","look","Pig","t9","t12","inner","t12","right","5",3236,1
"18","anon1_cue_strength_within","8","cue_strength_within","lookLabel","Sheep","t5","t3","inner","t5","left","6",5035,1
"19","anon1_cue_strength_within","9","cue_strength_within","pointLabel","Monkey","t7","t2","outer","t2","right","7",4973,1
"20","anon1_cue_strength_within","10","cue_strength_within","pointLabel","Dog","t17","t11","outer","t17","left","8",7959,1
"21","anon10_cue_strength_within","1","cue_strength_within","label","Elephant","car","bear","inner","car","left","train",5301,1
"22","anon10_cue_strength_within","2","cue_strength_within","label","Pig","duck","ball","outer","ball","right","train",4286,1
"23","anon10_cue_strength_within","3","cue_strength_within","pointLabel","Bunny","t2","t14","inner","t14","right","1",6111,1
"24","anon10_cue_strength_within","4","cue_strength_within","point","Cat","t8","t12","outer","t8","right","2",5496,0
"25","anon10_cue_strength_within","5","cue_strength_within","lookLabel","Elephant","t3","t5","inner","t3","left","3",6205,1
"26","anon10_cue_strength_within","6","cue_strength_within","pointLabel","Pig","t10","t11","inner","t10","left","4",7648,1
"27","anon10_cue_strength_within","7","cue_strength_within","point","Mouse","t9","t17","outer","t17","right","5",2809,1
"28","anon10_cue_strength_within","8","cue_strength_within","lookLabel","Dog","t15","t7","inner","t7","right","6",8384,1
"29","anon10_cue_strength_within","9","cue_strength_within","look","Monkey","t4","t1","inner","t4","left","7",2475,1
"30","anon10_cue_strength_within","10","cue_strength_within","look","Frog","t16","t6","outer","t16","left","8",3188,1
"31","anon11_cue_strength_within","1","cue_strength_within","label","Elephant","car","bear","inner","car","left","train",12621,1
"32","anon11_cue_strength_within","2","cue_strength_within","label","Pig","duck","ball","outer","ball","right","train",7635,1
"33","anon11_cue_strength_within","3","cue_strength_within","point","Bunny","t12","t1","inner","t1","right","1",5521,1
"34","anon11_cue_strength_within","4","cue_strength_within","look","Frog","t10","t16","outer","t10","left","2",4754,1
"35","anon11_cue_strength_within","5","cue_strength_within","lookLabel","Tiger","t17","t4","inner","t17","left","3",11849,1
"36","anon11_cue_strength_within","6","cue_strength_within","pointLabel","Bear","t6","t8","outer","t6","left","4",9403,1
"37","anon11_cue_strength_within","7","cue_strength_within","look","Mouse","t11","t5","inner","t5","left","5",12859,0
"38","anon11_cue_strength_within","8","cue_strength_within","point","Dog","t15","t2","outer","t2","right","6",6442,1
"39","anon11_cue_strength_within","9","cue_strength_within","pointLabel","Sheep","t3","t7","outer","t7","right","7",12081,1
"40","anon11_cue_strength_within","10","cue_strength_within","lookLabel","Monkey","t9","t14","outer","t14","right","8",11862,1
"41","anon12_cue_strength_within","1","cue_strength_within","label","Elephant","car","bear","inner","car","left","train",11560,1
"42","anon12_cue_strength_within","2","cue_strength_within","label","Pig","duck","ball","outer","ball","right","train",10084,1
"43","anon12_cue_strength_within","3","cue_strength_within","point","Elephant","t7","t1","inner","t1","right","1",2478,1
"44","anon12_cue_strength_within","4","cue_strength_within","pointLabel","Pig","t12","t2","outer","t2","left","2",4802,0
"45","anon12_cue_strength_within","5","cue_strength_within","pointLabel","Frog","t8","t5","outer","t5","right","3",6630,1
"46","anon12_cue_strength_within","6","cue_strength_within","point","Bunny","t16","t3","inner","t16","left","4",2690,1
"47","anon12_cue_strength_within","7","cue_strength_within","lookLabel","Cat","t11","t4","outer","t11","left","5",4554,1
"48","anon12_cue_strength_within","8","cue_strength_within","look","Mouse","t10","t6","outer","t10","left","6",2250,1
"49","anon12_cue_strength_within","9","cue_strength_within","lookLabel","Bear","t15","t9","inner","t9","right","7",6748,1
"50","anon12_cue_strength_within","10","cue_strength_within","look","Monkey","t17","t14","outer","t14","right","8",2446,1
"51","anon13_cue_strength_within","1","cue_strength_within","label","Elephant","car","bear","inner","car","left","train",8497,1
"52","anon13_cue_strength_within","2","cue_strength_within","label","Pig","duck","ball","outer","ball","right","train",8030,1
"53","anon13_cue_strength_within","3","cue_strength_within","point","Elephant","t7","t16","inner","t16","right","1",4093,1
"54","anon13_cue_strength_within","4","cue_strength_within","pointLabel","Cat","t15","t4","inner","t4","right","2",10958,1
"55","anon13_cue_strength_within","5","cue_strength_within","pointLabel","Bunny","t12","t9","inner","t9","right","3",6389,1
"56","anon13_cue_strength_within","6","cue_strength_within","lookLabel","Monkey","t6","t3","inner","t6","left","4",7047,1
"57","anon13_cue_strength_within","7","cue_strength_within","point","Pig","t8","t10","outer","t8","left","5",4867,1
"58","anon13_cue_strength_within","8","cue_strength_within","look","Mouse","t1","t2","outer","t1","left","6",2705,1
"59","anon13_cue_strength_within","9","cue_strength_within","lookLabel","Dog","t5","t17","outer","t17","right","7",8457,1
"60","anon13_cue_strength_within","10","cue_strength_within","look","Frog","t14","t11","inner","t14","left","8",3305,1
"61","anon14_cue_strength_within","1","cue_strength_within","label","Elephant","car","bear","inner","car","left","train",6061,1
"62","anon14_cue_strength_within","2","cue_strength_within","label","Pig","duck","ball","outer","ball","right","train",4844,1
"63","anon14_cue_strength_within","3","cue_strength_within","point","Frog","t2","t5","outer","t2","right","1",2677,0
"64","anon14_cue_strength_within","4","cue_strength_within","lookLabel","Bunny","t9","t3","inner","t3","right","2",6590,1
"65","anon14_cue_strength_within","5","cue_strength_within","look","Pig","t6","t16","outer","t6","left","3",1884,1
"66","anon14_cue_strength_within","6","cue_strength_within","pointLabel","Mouse","t10","t1","inner","t10","left","4",4717,1
"67","anon14_cue_strength_within","7","cue_strength_within","lookLabel","Bear","t17","t8","inner","t17","left","5",7852,1
"68","anon14_cue_strength_within","8","cue_strength_within","pointLabel","Sheep","t15","t7","outer","t7","right","6",4445,1
"69","anon14_cue_strength_within","9","cue_strength_within","point","Elephant","t14","t11","inner","t11","right","7",2047,1
"70","anon14_cue_strength_within","10","cue_strength_within","look","Monkey","t4","t12","inner","t4","left","8",1574,1
"71","anon15_cue_strength_within","1","cue_strength_within","label","Elephant","car","bear","inner","car","left","train",5104,1
"72","anon15_cue_strength_within","2","cue_strength_within","label","Pig","duck","ball","outer","ball","right","train",8140,1
"73","anon15_cue_strength_within","3","cue_strength_within","pointLabel","Elephant","t9","t15","outer","t9","right","1",4832,0
"74","anon15_cue_strength_within","4","cue_strength_within","lookLabel","Dog","t10","t16","outer","t10","right","2",4154,0
"75","anon15_cue_strength_within","5","cue_strength_within","look","Cat","t5","t1","inner","t1","right","3",5651,1
"76","anon15_cue_strength_within","6","cue_strength_within","lookLabel","Monkey","t3","t7","inner","t3","left","4",5615,1
"77","anon15_cue_strength_within","7","cue_strength_within","pointLabel","Sheep","t14","t6","inner","t14","left","5",6894,1
"78","anon15_cue_strength_within","8","cue_strength_within","point","Bear","t8","t2","outer","t2","right","6",3341,1
"79","anon15_cue_strength_within","9","cue_strength_within","look","Frog","t12","t4","outer","t4","left","7",3905,0
"80","anon15_cue_strength_within","10","cue_strength_within","point","Mouse","t17","t11","inner","t17","left","8",4592,1
"81","anon16_cue_strength_within","1","cue_strength_within","label","Elephant","car","bear","inner","car","left","train",5601,1
"82","anon16_cue_strength_within","2","cue_strength_within","label","Pig","duck","ball","outer","ball","right","train",5846,1
"83","anon16_cue_strength_within","3","cue_strength_within","point","Mouse","t11","t1","inner","t1","right","1",3383,1
"84","anon16_cue_strength_within","4","cue_strength_within","pointLabel","Bear","t17","t5","inner","t17","right","2",6677,0
"85","anon16_cue_strength_within","5","cue_strength_within","look","Tiger","t12","t14","outer","t12","left","3",3045,1
"86","anon16_cue_strength_within","6","cue_strength_within","point","Dog","t2","t16","inner","t2","left","4",2668,1
"87","anon16_cue_strength_within","7","cue_strength_within","look","Bunny","t8","t15","inner","t8","right","5",3586,0
"88","anon16_cue_strength_within","8","cue_strength_within","lookLabel","Elephant","t6","t7","outer","t6","left","6",5667,1
"89","anon16_cue_strength_within","9","cue_strength_within","lookLabel","Monkey","t9","t10","outer","t9","left","7",4206,1
"90","anon16_cue_strength_within","10","cue_strength_within","pointLabel","Frog","t3","t4","outer","t3","right","8",5294,0
"91","anon17_cue_strength_within","1","cue_strength_within","label","Elephant","car","bear","inner","bear","left","train",8395,0
"92","anon17_cue_strength_within","2","cue_strength_within","label","Pig","duck","ball","outer","ball","right","train",5348,1
"93","anon17_cue_strength_within","3","cue_strength_within","look","Bunny","t5","t14","inner","t14","right","1",3787,1
"94","anon17_cue_strength_within","4","cue_strength_within","point","Cat","t10","t7","outer","t10","right","2",1448,0
"95","anon17_cue_strength_within","5","cue_strength_within","look","Mouse","t12","t6","outer","t6","left","3",1726,0
