"","id","alltrial","experiment","condition","control","agent","leftObject","rightObject","targetOnTable","pick","target","trial","rt","correct"
"1","03da1ca58f8f35b3c21f533fb2fb62ab","1","cue_strength_controls","label","no","Elephant","car","bear","inner","car","left","train",5682,1
"2","03da1ca58f8f35b3c21f533fb2fb62ab","2","cue_strength_controls","label","no","Pig","duck","ball","outer","ball","right","train",13908,1
"3","03da1ca58f8f35b3c21f533fb2fb62ab","3","cue_strength_controls","lookLabel","bar","Dog","t4","t16","inner","t16","right","1",14369,1
"4","03da1ca58f8f35b3c21f533fb2fb62ab","4","cue_strength_controls","lookLabel","abs","Bunny","t11","t15","inner","t11","left","2",9578,1
"5","03da1ca58f8f35b3c21f533fb2fb62ab","5","cue_strength_controls","lookLabel","no","Beaver","t9","t1","inner","t9","left","3",8779,1
"6","03da1ca58f8f35b3c21f533fb2fb62ab","6","cue_strength_controls","lookLabel","bar","Monkey","t18","t2","outer","t2","right","4",5595,1
"7","03da1ca58f8f35b3c21f533fb2fb62ab","7","cue_strength_controls","lookLabel","bar","Sheep","t7","t13","inner","t7","left","5",5458,1
"8","03da1ca58f8f35b3c21f533fb2fb62ab","8","cue_strength_controls","lookLabel","abs","Frog","t10","t5","inner","t10","right","6",7906,0
"9","03da1ca58f8f35b3c21f533fb2fb62ab","9","cue_strength_controls","lookLabel","no","Tiger","t6","t8","inner","t6","left","7",4720,1
"10","03da1ca58f8f35b3c21f533fb2fb62ab","10","cue_strength_controls","lookLabel","abs","Mouse","t17","t12","outer","t17","left","8",6715,1
"11","03da1ca58f8f35b3c21f533fb2fb62ab","11","cue_strength_controls","lookLabel","no","Bear","t3","t14","inner","t14","right","9",5057,1
"12","0ae883f58a548c7ad0cfc6d48ef9f36d","1","cue_strength_controls","label","no","Elephant","car","bear","inner","car","left","train",5588,1
"13","0ae883f58a548c7ad0cfc6d48ef9f36d","2","cue_strength_controls","label","no","Pig","duck","ball","outer","ball","right","train",10013,1
"14","0ae883f58a548c7ad0cfc6d48ef9f36d","3","cue_strength_controls","lookLabel","bar","Frog","t12","t3","inner","t12","left","1",7216,1
"15","0ae883f58a548c7ad0cfc6d48ef9f36d","4","cue_strength_controls","lookLabel","abs","Cat","t2","t1","inner","t2","left","2",8450,1
"16","0ae883f58a548c7ad0cfc6d48ef9f36d","5","cue_strength_controls","lookLabel","bar","Sheep","t17","t5","outer","t5","left","3",7017,0
"17","0ae883f58a548c7ad0cfc6d48ef9f36d","6","cue_strength_controls","lookLabel","no","Beaver","t18","t4","outer","t18","left","4",5034,1
"18","0ae883f58a548c7ad0cfc6d48ef9f36d","7","cue_strength_controls","lookLabel","no","Dog","t13","t14","inner","t14","right","5",7982,1
"19","0ae883f58a548c7ad0cfc6d48ef9f36d","8","cue_strength_controls","lookLabel","bar","Bunny","t8","t15","outer","t8","right","6",6529,0
"20","0ae883f58a548c7ad0cfc6d48ef9f36d","9","cue_strength_controls","lookLabel","abs","Tiger","t10","t6","inner","t10","right","7",5435,0
"21","0ae883f58a548c7ad0cfc6d48ef9f36d","10","cue_strength_controls","lookLabel","abs","Monkey","t16","t9","outer","t16","right","8",5415,0
"22","0ae883f58a548c7ad0cfc6d48ef9f36d","11","cue_strength_controls","lookLabel","no","Elephant","t7","t11","inner","t11","right","9",4555,1
"23","17a478e529bcec596bb930cd75f3af67","1","cue_strength_controls","label","no","Elephant","car","bear","inner","car","left","train",14674,1
"24","17a478e529bcec596bb930cd75f3af67","2","cue_strength_controls","label","no","Pig","duck","ball","outer","ball","right","train",7136,1
"25","17a478e529bcec596bb930cd75f3af67","3","cue_strength_controls","lookLabel","bar","Cat","t12","t5","outer","t12","right","1",10990,0
"26","17a478e529bcec596bb930cd75f3af67","4","cue_strength_controls","lookLabel","no","Dog","t6","t10","outer","t10","left","2",12102,0
"27","17a478e529bcec596bb930cd75f3af67","5","cue_strength_controls","lookLabel","no","Bunny","t18","t4","outer","t4","left","3",10149,0
"28","17a478e529bcec596bb930cd75f3af67","6","cue_strength_controls","lookLabel","bar","Mouse","t17","t2","outer","t2","right","4",8276,1
"29","17a478e529bcec596bb930cd75f3af67","7","cue_strength_controls","lookLabel","abs","Sheep","t15","t7","outer","t7","left","5",6223,0
"30","17a478e529bcec596bb930cd75f3af67","8","cue_strength_controls","lookLabel","abs","Monkey","t11","t8","inner","t8","left","6",7744,0
"31","17a478e529bcec596bb930cd75f3af67","9","cue_strength_controls","lookLabel","no","Beaver","t13","t3","outer","t3","left","7",7745,0
"32","17a478e529bcec596bb930cd75f3af67","10","cue_strength_controls","lookLabel","abs","Bear","t14","t9","outer","t14","right","8",5070,0
"33","17a478e529bcec596bb930cd75f3af67","11","cue_strength_controls","lookLabel","bar","Elephant","t16","t1","inner","t16","right","9",11249,1
"34","1831ac9c8b4e595ae7ac94ef9676f764","1","cue_strength_controls","label","no","Elephant","car","bear","inner","car","left","train",6403,1
"35","1831ac9c8b4e595ae7ac94ef9676f764","2","cue_strength_controls","label","no","Pig","duck","ball","outer","ball","right","train",4399,1
"36","1831ac9c8b4e595ae7ac94ef9676f764","3","cue_strength_controls","lookLabel","no","Cat","t13","t3","inner","t13","left","1",6679,1
"37","1831ac9c8b4e595ae7ac94ef9676f764","4","cue_strength_controls","lookLabel","bar","Mouse","t11","t5","outer","t11","right","2",7238,0
"38","1831ac9c8b4e595ae7ac94ef9676f764","5","cue_strength_controls","lookLabel","abs","Bunny","t8","t2","inner","t8","left","3",5931,1
"39","1831ac9c8b4e595ae7ac94ef9676f764","6","cue_strength_controls","lookLabel","abs","Beaver","t4","t10","outer","t4","right","4",5759,0
"40","1831ac9c8b4e595ae7ac94ef9676f764","7","cue_strength_controls","lookLabel","bar","Dog","t14","t15","inner","t15","right","5",4116,1
"41","1831ac9c8b4e595ae7ac94ef9676f764","8","cue_strength_controls","lookLabel","no","Monkey","t12","t7","outer","t7","right","6",6271,1
"42","1831ac9c8b4e595ae7ac94ef9676f764","9","cue_strength_controls","lookLabel","abs","Tiger","t18","t6","inner","t18","left","7",4965,1
"43","1831ac9c8b4e595ae7ac94ef9676f764","10","cue_strength_controls","lookLabel","bar","Bear","t17","t9","outer","t17","left","8",4781,1
"44","1831ac9c8b4e595ae7ac94ef9676f764","11","cue_strength_controls","lookLabel","no","Elephant","t16","t1","inner","t16","left","9",4756,1
"45","192099bf19db60fe103676a2aa7a6b3e","1","cue_strength_controls","label","no","Elephant","car","bear","inner","car","left","train",8095,1
"46","192099bf19db60fe103676a2aa7a6b3e","2","cue_strength_controls","label","no","Pig","duck","ball","outer","ball","right","train",7199,1
"47","192099bf19db60fe103676a2aa7a6b3e","3","cue_strength_controls","lookLabel","abs","Beaver","t16","t1","inner","t16","right","1",7370,1
"48","192099bf19db60fe103676a2aa7a6b3e","4","cue_strength_controls","lookLabel","abs","Elephant","t2","t4","inner","t2","right","2",10410,0
"49","192099bf19db60fe103676a2aa7a6b3e","5","cue_strength_controls","lookLabel","bar","Tiger","t9","t14","outer","t9","right","3",7916,0
