"","id","alltrial","experiment","condition","control","agent","leftObject","rightObject","targetOnTable","pick","target","trial","rt","correct"
"1","anon0_cue_strength_controls_barrier","1","cue_strength_controls_barrier","label","no","Elephant","car","bear","inner","car","left","train",7473,1
"2","anon0_cue_strength_controls_barrier","2","cue_strength_controls_barrier","label","no","Pig","duck","ball","outer","ball","right","train",6041,1
"3","anon0_cue_strength_controls_barrier","3","cue_strength_controls_barrier","lookLabel","bar","Cat","t2","t4","outer","t2","left","1",9008,1
"4","anon0_cue_strength_controls_barrier","4","cue_strength_controls_barrier","lookLabel","bar","Bear","t15","t16","inner","t15","left","2",7338,1
"5","anon0_cue_strength_controls_barrier","5","cue_strength_controls_barrier","lookLabel","bar","Elephant","t1","t3","outer","t3","right","3",7785,1
"6","anon0_cue_strength_controls_barrier","6","cue_strength_controls_barrier","lookLabel","bar","Mouse","t13","t10","outer","t13","left","4",10026,1
"7","anon0_cue_strength_controls_barrier","7","cue_strength_controls_barrier","lookLabel","bar","Bunny","t11","t5","outer","t5","right","5",8065,1
"8","anon0_cue_strength_controls_barrier","8","cue_strength_controls_barrier","lookLabel","bar","Dog","t8","t14","inner","t8","right","6",7481,0
"9","anon0_cue_strength_controls_barrier","9","cue_strength_controls_barrier","lookLabel","bar","Beaver","t6","t7","outer","t6","right","7",8073,0
"10","anon0_cue_strength_controls_barrier","10","cue_strength_controls_barrier","lookLabel","bar","Tiger","t12","t9","outer","t12","right","8",8623,0
"11","anon1_cue_strength_controls_barrier","1","cue_strength_controls_barrier","label","no","Elephant","car","bear","inner","car","left","train",7674,1
"12","anon1_cue_strength_controls_barrier","2","cue_strength_controls_barrier","label","no","Pig","duck","ball","outer","ball","right","train",5053,1
"13","anon1_cue_strength_controls_barrier","3","cue_strength_controls_barrier","lookLabel","bar","Elephant","t2","t10","inner","t10","left","1",6508,0
"14","anon1_cue_strength_controls_barrier","4","cue_strength_controls_barrier","lookLabel","bar","Tiger","t9","t16","outer","t16","left","2",4971,0
"15","anon1_cue_strength_controls_barrier","5","cue_strength_controls_barrier","lookLabel","bar","Bear","t1","t4","outer","t4","left","3",5138,0
"16","anon1_cue_strength_controls_barrier","6","cue_strength_controls_barrier","lookLabel","bar","Bunny","t14","t6","outer","t14","right","4",10172,0
"17","anon1_cue_strength_controls_barrier","7","cue_strength_controls_barrier","lookLabel","bar","Monkey","t13","t15","outer","t13","right","5",6567,0
"18","anon1_cue_strength_controls_barrier","8","cue_strength_controls_barrier","lookLabel","bar","Beaver","t12","t7","outer","t12","right","6",6415,0
"19","anon1_cue_strength_controls_barrier","9","cue_strength_controls_barrier","lookLabel","bar","Dog","t5","t8","outer","t5","right","7",6095,0
"20","anon1_cue_strength_controls_barrier","10","cue_strength_controls_barrier","lookLabel","bar","Cat","t18","t11","outer","t11","left","8",5268,0
"21","anon10_cue_strength_controls_barrier","1","cue_strength_controls_barrier","label","no","Elephant","car","bear","inner","car","left","train",7129,1
"22","anon10_cue_strength_controls_barrier","2","cue_strength_controls_barrier","label","no","Pig","duck","ball","outer","ball","right","train",7066,1
"23","anon10_cue_strength_controls_barrier","3","cue_strength_controls_barrier","lookLabel","bar","Beaver","t11","t15","inner","t15","right","1",10003,1
"24","anon10_cue_strength_controls_barrier","4","cue_strength_controls_barrier","lookLabel","bar","Bunny","t18","t16","outer","t16","right","2",5578,1
"25","anon10_cue_strength_controls_barrier","5","cue_strength_controls_barrier","lookLabel","bar","Mouse","t12","t3","outer","t12","left","3",10768,1
"26","anon10_cue_strength_controls_barrier","6","cue_strength_controls_barrier","lookLabel","bar","Monkey","t2","t8","outer","t8","right","4",5408,1
"27","anon10_cue_strength_controls_barrier","7","cue_strength_controls_barrier","lookLabel","bar","Bear","t5","t9","inner","t5","left","5",42697,1
"28","anon10_cue_strength_controls_barrier","8","cue_strength_controls_barrier","lookLabel","bar","Dog","t7","t1","outer","t1","right","6",7308,1
"29","anon10_cue_strength_controls_barrier","9","cue_strength_controls_barrier","lookLabel","bar","Elephant","t4","t6","inner","t4","left","7",4853,1
"30","anon10_cue_strength_controls_barrier","10","cue_strength_controls_barrier","lookLabel","bar","Frog","t17","t13","outer","t17","left","8",4580,1
"31","anon11_cue_strength_controls_barrier","1","cue_strength_controls_barrier","label","no","Elephant","car","bear","inner","car","left","train",4195,1
"32","anon11_cue_strength_controls_barrier","2","cue_strength_controls_barrier","label","no","Pig","duck","ball","outer","ball","right","train",4024,1
"33","anon11_cue_strength_controls_barrier","3","cue_strength_controls_barrier","lookLabel","bar","Mouse","t9","t14","outer","t14","left","1",4152,0
"34","anon11_cue_strength_controls_barrier","4","cue_strength_controls_barrier","lookLabel","bar","Tiger","t6","t13","outer","t13","left","2",4423,0
"35","anon11_cue_strength_controls_barrier","5","cue_strength_controls_barrier","lookLabel","bar","Elephant","t11","t15","inner","t15","left","3",4296,0
"36","anon11_cue_strength_controls_barrier","6","cue_strength_controls_barrier","lookLabel","bar","Beaver","t2","t16","outer","t2","right","4",4389,0
