"","id","alltrial","experiment","condition","control","agent","leftObject","rightObject","targetOnTable","pick","target","trial","rt","correct"
"1","anon0_cue_strength_controls_later","1","cue_strength_controls_later","label","no","Elephant","car","bear","inner","car","left","train",6481,1
"2","anon0_cue_strength_controls_later","2","cue_strength_controls_later","label","no","Pig","duck","ball","outer","ball","right","train",5196,1
"3","anon0_cue_strength_controls_later","3","cue_strength_controls_later","lookLabel","abs","Cat","t11","t16","inner","t11","right","1",5108,0
"4","anon0_cue_strength_controls_later","4","cue_strength_controls_later","lookLabel","abs","Frog","t15","t1","inner","t15","right","2",5861,1
"5","anon0_cue_strength_controls_later","5","cue_strength_controls_later","lookLabel","abs","Mouse","t3","t7","outer","t7","left","3",4591,0
"6","anon0_cue_strength_controls_later","6","cue_strength_controls_later","lookLabel","abs","Bear","t2","t14","outer","t14","left","4",4798,0
"7","anon0_cue_strength_controls_later","7","cue_strength_controls_later","lookLabel","abs","Bunny","t18","t10","outer","t10","left","5",5468,0
"8","anon0_cue_strength_controls_later","8","cue_strength_controls_later","lookLabel","abs","Dog","t5","t12","inner","t5","right","6",4644,0
"9","anon0_cue_strength_controls_later","9","cue_strength_controls_later","lookLabel","abs","Sheep","t6","t17","outer","t6","right","7",6079,0
"10","anon0_cue_strength_controls_later","10","cue_strength_controls_later","lookLabel","abs","Monkey","t4","t9","outer","t9","left","8",4514,0
"11","anon1_cue_strength_controls_later","1","cue_strength_controls_later","label","no","Elephant","car","bear","inner","car","left","train",5015,1
"12","anon1_cue_strength_controls_later","2","cue_strength_controls_later","label","no","Pig","duck","ball","outer","ball","right","train",7009,1
"13","anon1_cue_strength_controls_later","3","cue_strength_controls_later","lookLabel","abs","Beaver","t18","t17","inner","t17","left","1",5121,0
"14","anon1_cue_strength_controls_later","4","cue_strength_controls_later","lookLabel","abs","Tiger","t11","t6","outer","t11","right","2",4245,0
"15","anon1_cue_strength_controls_later","5","cue_strength_controls_later","lookLabel","abs","Bunny","t15","t10","outer","t10","left","3",4471,0
"16","anon1_cue_strength_controls_later","6","cue_strength_controls_later","lookLabel","abs","Frog","t13","t3","outer","t3","left","4",4495,0
"17","anon1_cue_strength_controls_later","7","cue_strength_controls_later","lookLabel","abs","Monkey","t14","t12","inner","t12","left","5",4873,0
"18","anon1_cue_strength_controls_later","8","cue_strength_controls_later","lookLabel","abs","Dog","t16","t5","inner","t5","left","6",5272,0
"19","anon1_cue_strength_controls_later","9","cue_strength_controls_later","lookLabel","abs","Elephant","t8","t9","outer","t8","right","7",4305,0
"20","anon1_cue_strength_controls_later","10","cue_strength_controls_later","lookLabel","abs","Bear","t7","t2","outer","t7","right","8",4588,0
"21","anon10_cue_strength_controls_later","1","cue_strength_controls_later","label","no","Elephant","car","bear","inner","car","left","train",6562,1
"22","anon10_cue_strength_controls_later","2","cue_strength_controls_later","label","no","Pig","duck","ball","outer","ball","right","train",6377,1
"23","anon10_cue_strength_controls_later","3","cue_strength_controls_later","lookLabel","abs","Cat","t6","t12","outer","t6","left","1",16578,1
"24","anon10_cue_strength_controls_later","4","cue_strength_controls_later","lookLabel","abs","Elephant","t5","t8","outer","t5","right","2",8769,0
"25","anon10_cue_strength_controls_later","5","cue_strength_controls_later","lookLabel","abs","Frog","t1","t9","outer","t1","right","3",5378,0
"26","anon10_cue_strength_controls_later","6","cue_strength_controls_later","lookLabel","abs","Tiger","t16","t3","inner","t16","right","4",4219,0
"27","anon10_cue_strength_controls_later","7","cue_strength_controls_later","lookLabel","abs","Beaver","t17","t15","inner","t15","left","5",5049,0
"28","anon10_cue_strength_controls_later","8","cue_strength_controls_later","lookLabel","abs","Sheep","t18","t7","outer","t7","left","6",4121,0
"29","anon10_cue_strength_controls_later","9","cue_strength_controls_later","lookLabel","abs","Dog","t13","t14","inner","t14","left","7",6914,0
"30","anon10_cue_strength_controls_later","10","cue_strength_controls_later","lookLabel","abs","Monkey","t2","t11","outer","t11","left","8",4025,0
"31","anon11_cue_strength_controls_later","1","cue_strength_controls_later","label","no","Elephant","car","bear","inner","car","left","train",5360,1
"32","anon11_cue_strength_controls_later","2","cue_strength_controls_later","label","no","Pig","duck","ball","outer","ball","right","train",5980,1
"33","anon11_cue_strength_controls_later","3","cue_strength_controls_later","lookLabel","abs","Sheep","t8","t4","outer","t4","left","1",4434,0
"34","anon11_cue_strength_controls_later","4","cue_strength_controls_later","lookLabel","abs","Tiger","t2","t10","outer","t10","left","2",37435,0
"35","anon11_cue_strength_controls_later","5","cue_strength_controls_later","lookLabel","abs","Beaver","t14","t15","inner","t14","right","3",4112,0
"36","anon11_cue_strength_controls_later","6","cue_strength_controls_later","lookLabel","abs","Bear","t7","t17","inner","t17","left","4",11011,0
"37","anon11_cue_strength_controls_later","7","cue_strength_controls_later","lookLabel","abs","Frog","t5","t3","outer","t5","right","5",4434,0
"38","anon11_cue_strength_controls_later","8","cue_strength_controls_later","lookLabel","abs","Cat","t13","t12","inner","t13","right","6",9672,0
"39","anon11_cue_strength_controls_later","9","cue_strength_controls_later","lookLabel","abs","Elephant","t9","t11","outer","t9","right","7",4293,0
"40","anon11_cue_strength_controls_later","10","cue_strength_controls_later","lookLabel","abs","Monkey","t16","t18","inner","t18","left","8",7480,0
"41","anon12_cue_strength_controls_later","1","cue_strength_controls_later","label","no","Elephant","car","bear","inner","car","left","train",9417,1
"42","anon12_cue_strength_controls_later","2","cue_strength_controls_later","label","no","Pig","duck","ball","outer","ball","right","train",8060,1
"43","anon12_cue_strength_controls_later","3","cue_strength_controls_later","lookLabel","abs","Beaver","t16","t4","inner","t4","left","1",6208,0
"44","anon12_cue_strength_controls_later","4","cue_strength_controls_later","lookLabel","abs","Sheep","t8","t10","outer","t10","left","2",5381,0
"45","anon12_cue_strength_controls_later","5","cue_strength_controls_later","lookLabel","abs","Mouse","t7","t17","inner","t7","right","3",4884,0
"46","anon12_cue_strength_controls_later","6","cue_strength_controls_later","lookLabel","abs","Cat","t12","t13","outer","t13","left","4",4218,0
"47","anon12_cue_strength_controls_later","7","cue_strength_controls_later","lookLabel","abs","Dog","t6","t3","outer","t3","left","5",4184,0
"48","anon12_cue_strength_controls_later","8","cue_strength_controls_later","lookLabel","abs","Tiger","t9","t2","inner","t9","right","6",4107,0
"49","anon12_cue_strength_controls_later","9","cue_strength_controls_later","lookLabel","abs","Elephant","t15","t11","outer","t11","left","7",4479,0
"50","anon12_cue_strength_controls_later","10","cue_strength_controls_later","lookLabel","abs","Frog","t14","t1","inner","t14","right","8",4392,1
"51","anon13_cue_strength_controls_later","1","cue_strength_controls_later","label","no","Elephant","car","bear","inner","car","left","train",4991,1
"52","anon13_cue_strength_controls_later","2","cue_strength_controls_later","label","no","Pig","duck","ball","outer","ball","right","train",4572,1
