"","id","alltrial","experiment","condition","control","agent","leftObject","rightObject","targetOnTable","pick","target","trial","rt","correct"
"1","04d87f25d266173c64ea746ffa083c0b","1","cue_strength_unintentional_person","label","no","Elephant","car","bear","inner","car","left","train",12273,1
"2","04d87f25d266173c64ea746ffa083c0b","2","cue_strength_unintentional_person","label","no","Pig","duck","ball","outer","ball","right","train",9888,1
"3","04d87f25d266173c64ea746ffa083c0b","3","cue_strength_unintentional_person","lookLabel","yes","Frog","t13","t1","inner","t1","right","1",12308,1
"4","04d87f25d266173c64ea746ffa083c0b","4","cue_strength_unintentional_person","lookLabel","yes","Mouse","t12","t6","outer","t12","left","2",12353,1
"5","04d87f25d266173c64ea746ffa083c0b","5","cue_strength_unintentional_person","lookLabel","no","Bear","t16","t3","outer","t3","right","3",11398,1
"6","04d87f25d266173c64ea746ffa083c0b","6","cue_strength_unintentional_person","lookLabel","no","Beaver","t10","t5","outer","t10","left","4",11197,1
"7","04d87f25d266173c64ea746ffa083c0b","7","cue_strength_unintentional_person","lookLabel","no","Monkey","t17","t2","outer","t17","left","5",10975,1
"8","04d87f25d266173c64ea746ffa083c0b","8","cue_strength_unintentional_person","lookLabel","yes","Tiger","t11","t7","outer","t7","right","6",10948,1
"9","04d87f25d266173c64ea746ffa083c0b","9","cue_strength_unintentional_person","lookLabel","no","Bunny","t15","t8","inner","t8","right","7",9707,1
"10","04d87f25d266173c64ea746ffa083c0b","10","cue_strength_unintentional_person","lookLabel","yes","Dog","t14","t9","outer","t14","left","8",10166,1
"11","10a5882c1ec97bfb30e36e50df3df60c","1","cue_strength_unintentional_person","label","no","Elephant","car","bear","inner","car","left","train",10995,1
"12","10a5882c1ec97bfb30e36e50df3df60c","2","cue_strength_unintentional_person","label","no","Pig","duck","ball","outer","ball","right","train",10037,1
"13","10a5882c1ec97bfb30e36e50df3df60c","3","cue_strength_unintentional_person","lookLabel","yes","Beaver","t11","t14","inner","t11","right","1",11455,0
"14","10a5882c1ec97bfb30e36e50df3df60c","4","cue_strength_unintentional_person","lookLabel","no","Mouse","t3","t18","inner","t18","left","2",11015,0
"15","10a5882c1ec97bfb30e36e50df3df60c","5","cue_strength_unintentional_person","lookLabel","no","Monkey","t8","t16","inner","t16","left","3",11612,0
"16","10a5882c1ec97bfb30e36e50df3df60c","6","cue_strength_unintentional_person","lookLabel","no","Dog","t12","t6","inner","t12","right","4",12467,0
"17","10a5882c1ec97bfb30e36e50df3df60c","7","cue_strength_unintentional_person","lookLabel","yes","Frog","t1","t15","inner","t15","left","5",9003,1
"18","10a5882c1ec97bfb30e36e50df3df60c","8","cue_strength_unintentional_person","lookLabel","yes","Cat","t9","t10","inner","t9","right","6",8067,0
"19","10a5882c1ec97bfb30e36e50df3df60c","9","cue_strength_unintentional_person","lookLabel","no","Bunny","t4","t5","outer","t4","right","7",8518,0
"20","10a5882c1ec97bfb30e36e50df3df60c","10","cue_strength_unintentional_person","lookLabel","yes","Bear","t17","t13","inner","t13","left","8",7685,0
"21","13035940aa78138aa9d57903dbdecb24","1","cue_strength_unintentional_person","label","no","Elephant","car","bear","inner","car","left","train",10301,1
"22","13035940aa78138aa9d57903dbdecb24","2","cue_strength_unintentional_person","label","no","Pig","duck","ball","outer","ball","right","train",9944,1
"23","13035940aa78138aa9d57903dbdecb24","3","cue_strength_unintentional_person","lookLabel","no","Frog","t13","t9","inner","t13","left","1",17215,1
"24","13035940aa78138aa9d57903dbdecb24","4","cue_strength_unintentional_person","lookLabel","yes","Beaver","t12","t18","inner","t12","left","2",14090,1
"25","13035940aa78138aa9d57903dbdecb24","5","cue_strength_unintentional_person","lookLabel","yes","Mouse","t5","t4","outer","t5","right","3",30437,0
"26","13035940aa78138aa9d57903dbdecb24","6","cue_strength_unintentional_person","lookLabel","yes","Monkey","t17","t6","inner","t17","right","4",24032,0
"27","13035940aa78138aa9d57903dbdecb24","7","cue_strength_unintentional_person","lookLabel","no","Bunny","t14","t15","inner","t15","right","5",13050,1
"28","13035940aa78138aa9d57903dbdecb24","8","cue_strength_unintentional_person","lookLabel","no","Bear","t7","t1","outer","t1","right","6",13735,1
"29","13035940aa78138aa9d57903dbdecb24","9","cue_strength_unintentional_person","lookLabel","no","Dog","t8","t16","outer","t8","left","7",10066,1
"30","13035940aa78138aa9d57903dbdecb24","10","cue_strength_unintentional_person","lookLabel","yes","Sheep","t3","t10","inner","t3","left","8",13703,1
"31","1e6781c49c73abcd81a2d1f56008bb8b","1","cue_strength_unintentional_person","label","no","Elephant","car","bear","inner","car","left","train",11397,1
"32","1e6781c49c73abcd81a2d1f56008bb8b","2","cue_strength_unintentional_person","label","no","Pig","duck","ball","outer","ball","right","train",6418,1
"33","1e6781c49c73abcd81a2d1f56008bb8b","3","cue_strength_unintentional_person","lookLabel","yes","Beaver","t7","t10","inner","t10","left","1",8518,0
"34","1e6781c49c73abcd81a2d1f56008bb8b","4","cue_strength_unintentional_person","lookLabel","yes","Frog","t18","t3","inner","t3","left","2",7201,0
"35","1e6781c49c73abcd81a2d1f56008bb8b","5","cue_strength_unintentional_person","lookLabel","no","Bunny","t9","t13","outer","t9","right","3",8402,0
"36","1e6781c49c73abcd81a2d1f56008bb8b","6","cue_strength_unintentional_person","lookLabel","no","Mouse","t5","t17","inner","t5","right","4",6349,0
"37","1e6781c49c73abcd81a2d1f56008bb8b","7","cue_strength_unintentional_person","lookLabel","yes","Monkey","t16","t12","inner","t12","left","5",6108,0
"38","1e6781c49c73abcd81a2d1f56008bb8b","8","cue_strength_unintentional_person","lookLabel","no","Tiger","t6","t11","outer","t11","right","6",10377,1
"39","1e6781c49c73abcd81a2d1f56008bb8b","9","cue_strength_unintentional_person","lookLabel","no","Dog","t15","t8","outer","t15","right","7",6105,0
"40","1e6781c49c73abcd81a2d1f56008bb8b","10","cue_strength_unintentional_person","lookLabel","yes","Bear","t1","t2","inner","t1","right","8",6934,0
"41","21bba25d353a2ee92df6e66bf0607f56","1","cue_strength_unintentional_person","label","no","Elephant","car","bear","inner","car","left","train",12211,1
"42","21bba25d353a2ee92df6e66bf0607f56","2","cue_strength_unintentional_person","label","no","Pig","duck","ball","outer","ball","right","train",11538,1
"43","21bba25d353a2ee92df6e66bf0607f56","3","cue_strength_unintentional_person","lookLabel","yes","Frog","t2","t16","outer","t2","right","1",18552,0
"44","21bba25d353a2ee92df6e66bf0607f56","4","cue_strength_unintentional_person","lookLabel","yes","Monkey","t18","t14","outer","t18","right","2",14150,0
"45","21bba25d353a2ee92df6e66bf0607f56","5","cue_strength_unintentional_person","lookLabel","yes","Beaver","t12","t3","inner","t3","left","3",13353,0
"46","21bba25d353a2ee92df6e66bf0607f56","6","cue_strength_unintentional_person","lookLabel","no","Bunny","t9","t7","outer","t9","right","4",10871,0
"47","21bba25d353a2ee92df6e66bf0607f56","7","cue_strength_unintentional_person","lookLabel","no","Mouse","t6","t13","outer","t13","left","5",11616,0
"48","21bba25d353a2ee92df6e66bf0607f56","8","cue_strength_unintentional_person","lookLabel","no","Dog","t8","t10","outer","t10","left","6",12578,0
"49","21bba25d353a2ee92df6e66bf0607f56","9","cue_strength_unintentional_person","lookLabel","no","Sheep","t15","t4","inner","t4","left","7",10474,0
"50","21bba25d353a2ee92df6e66bf0607f56","10","cue_strength_unintentional_person","lookLabel","yes","Bear","t17","t11","inner","t17","right","8",10577,0
"51","2d6f74f29281b4518cf029d1f5a21197","1","cue_strength_unintentional_person","label","no","Elephant","car","bear","inner","car","left","train",11975,1
"52","2d6f74f29281b4518cf029d1f5a21197","2","cue_strength_unintentional_person","label","no","Pig","duck","ball","outer","ball","right","train",10068,1
"53","2d6f74f29281b4518cf029d1f5a21197","3","cue_strength_unintentional_person","lookLabel","no","Beaver","t14","t16","outer","t16","right","1",14487,1
"54","2d6f74f29281b4518cf029d1f5a21197","4","cue_strength_unintentional_person","lookLabel","yes","Mouse","t15","t18","outer","t15","left","2",13309,1
"55","2d6f74f29281b4518cf029d1f5a21197","5","cue_strength_unintentional_person","lookLabel","no","Bunny","t6","t9","outer","t6","left","3",13064,1
"56","2d6f74f29281b4518cf029d1f5a21197","6","cue_strength_unintentional_person","lookLabel","no","Dog","t4","t5","inner","t5","right","4",12068,1
"57","2d6f74f29281b4518cf029d1f5a21197","7","cue_strength_unintentional_person","lookLabel","no","Bear","t10","t17","outer","t10","left","5",12628,1
"58","2d6f74f29281b4518cf029d1f5a21197","8","cue_strength_unintentional_person","lookLabel","yes","Frog","t12","t13","outer","t12","right","6",13671,0
"59","2d6f74f29281b4518cf029d1f5a21197","9","cue_strength_unintentional_person","lookLabel","yes","Monkey","t8","t2","inner","t8","right","7",12227,0
"60","2d6f74f29281b4518cf029d1f5a21197","10","cue_strength_unintentional_person","lookLabel","yes","Sheep","t7","t11","outer","t11","right","8",12214,1
"61","352c6e2d381a416706398d5ca11c5e06","1","cue_strength_unintentional_person","label","no","Elephant","car","bear","inner","car","left","train",8680,1
"62","352c6e2d381a416706398d5ca11c5e06","2","cue_strength_unintentional_person","label","no","Pig","duck","ball","outer","ball","right","train",14372,1
"63","352c6e2d381a416706398d5ca11c5e06","3","cue_strength_unintentional_person","lookLabel","no","Frog","t12","t17","outer","t12","left","1",6081,1
"64","352c6e2d381a416706398d5ca11c5e06","4","cue_strength_unintentional_person","lookLabel","yes","Mouse","t18","t3","outer","t18","right","2",6224,0
"65","352c6e2d381a416706398d5ca11c5e06","5","cue_strength_unintentional_person","lookLabel","yes","Dog","t8","t6","outer","t6","left","3",10175,0
"66","352c6e2d381a416706398d5ca11c5e06","6","cue_strength_unintentional_person","lookLabel","yes","Beaver","t11","t10","inner","t11","left","4",7409,1
"67","352c6e2d381a416706398d5ca11c5e06","7","cue_strength_unintentional_person","lookLabel","no","Bunny","t16","t15","outer","t16","right","5",6049,0
"68","352c6e2d381a416706398d5ca11c5e06","8","cue_strength_unintentional_person","lookLabel","no","Bear","t7","t14","outer","t14","left","6",6616,0
"69","352c6e2d381a416706398d5ca11c5e06","9","cue_strength_unintentional_person","lookLabel","no","Sheep","t13","t9","outer","t9","right","7",6664,1
"70","352c6e2d381a416706398d5ca11c5e06","10","cue_strength_unintentional_person","lookLabel","yes","Monkey","t4","t2","inner","t4","left","8",6097,1
"71","3a09c7ad868345a765d4570095110cd7","1","cue_strength_unintentional_person","label","no","Elephant","car","bear","inner","car","left","train",12269,1
"72","3a09c7ad868345a765d4570095110cd7","2","cue_strength_unintentional_person","label","no","Pig","duck","ball","outer","ball","right","train",11416,1
"73","3a09c7ad868345a765d4570095110cd7","3","cue_strength_unintentional_person","lookLabel","no","Frog","t18","t3","outer","t3","right","1",19620,1
"74","3a09c7ad868345a765d4570095110cd7","4","cue_strength_unintentional_person","lookLabel","yes","Mouse","t8","t10","outer","t10","right","2",18489,1
"75","3a09c7ad868345a765d4570095110cd7","5","cue_strength_unintentional_person","lookLabel","no","Beaver","t2","t4","outer","t2","left","3",18502,1
"76","3a09c7ad868345a765d4570095110cd7","6","cue_strength_unintentional_person","lookLabel","no","Dog","t6","t17","inner","t17","right","4",12786,1
"77","3a09c7ad868345a765d4570095110cd7","7","cue_strength_unintentional_person","lookLabel","yes","Monkey","t9","t16","outer","t16","right","5",16253,1
"78","3a09c7ad868345a765d4570095110cd7","8","cue_strength_unintentional_person","lookLabel","yes","Bear","t7","t12","outer","t12","right","6",13633,1
"79","3a09c7ad868345a765d4570095110cd7","9","cue_strength_unintentional_person","lookLabel","no","Bunny","t13","t11","outer","t13","left","7",12280,1
"80","3a09c7ad868345a765d4570095110cd7","10","cue_strength_unintentional_person","lookLabel","yes","Sheep","t5","t14","inner","t5","left","8",14696,1
"81","3b642c5dff09b577bfb6caa1d0487750","1","cue_strength_unintentional_person","label","no","Elephant","car","bear","inner","car","left","train",11133,1
"82","3b642c5dff09b577bfb6caa1d0487750","2","cue_strength_unintentional_person","label","no","Pig","duck","ball","outer","ball","right","train",9897,1
"83","3b642c5dff09b577bfb6caa1d0487750","3","cue_strength_unintentional_person","lookLabel","no","Frog","t11","t10","inner","t11","left","1",9692,1
"84","3b642c5dff09b577bfb6caa1d0487750","4","cue_strength_unintentional_person","lookLabel","no","Beaver","t14","t3","inner","t14","left","2",6757,1
"85","3b642c5dff09b577bfb6caa1d0487750","5","cue_strength_unintentional_person","lookLabel","yes","Monkey","t1","t5","outer","t1","right","3",7737,0
"86","3b642c5dff09b577bfb6caa1d0487750","6","cue_strength_unintentional_person","lookLabel","yes","Mouse","t12","t6","inner","t6","left","4",7397,0
"87","3b642c5dff09b577bfb6caa1d0487750","7","cue_strength_unintentional_person","lookLabel","yes","Bunny","t13","t2","inner","t13","right","5",6399,0
"88","3b642c5dff09b577bfb6caa1d0487750","8","cue_strength_unintentional_person","lookLabel","no","Cat","t15","t4","outer","t4","right","6",6207,1
"89","3b642c5dff09b577bfb6caa1d0487750","9","cue_strength_unintentional_person","lookLabel","no","Bear","t8","t7","outer","t7","right","7",8189,1
"90","3b642c5dff09b577bfb6caa1d0487750","10","cue_strength_unintentional_person","lookLabel","yes","Dog","t16","t9","outer","t9","left","8",6136,0
"91","3d6a0fd9ac3235da8d0ec0fd4a0e3f1b","1","cue_strength_unintentional_person","label","no","Elephant","car","bear","inner","car","left","train",13702,1
"92","3d6a0fd9ac3235da8d0ec0fd4a0e3f1b","2","cue_strength_unintentional_person","label","no","Pig","duck","ball","outer","ball","right","train",10110,1
"93","3d6a0fd9ac3235da8d0ec0fd4a0e3f1b","3","cue_strength_unintentional_person","lookLabel","yes","Beaver","t10","t3","outer","t10","right","1",14059,0
"94","3d6a0fd9ac3235da8d0ec0fd4a0e3f1b","4","cue_strength_unintentional_person","lookLabel","yes","Mouse","t14","t5","outer","t14","right","2",17790,0
"95","3d6a0fd9ac3235da8d0ec0fd4a0e3f1b","5","cue_strength_unintentional_person","lookLabel","yes","Sheep","t2","t4","inner","t2","right","3",17197,0
"96","3d6a0fd9ac3235da8d0ec0fd4a0e3f1b","6","cue_strength_unintentional_person","lookLabel","no","Frog","t12","t18","inner","t12","left","4",17012,1
"97","3d6a0fd9ac3235da8d0ec0fd4a0e3f1b","7","cue_strength_unintentional_person","lookLabel","no","Bunny","t13","t6","outer","t13","left","5",15879,1
"98","3d6a0fd9ac3235da8d0ec0fd4a0e3f1b","8","cue_strength_unintentional_person","lookLabel","no","Monkey","t9","t7","inner","t7","right","6",15612,1
"99","3d6a0fd9ac3235da8d0ec0fd4a0e3f1b","9","cue_strength_unintentional_person","lookLabel","yes","Dog","t11","t8","outer","t8","left","7",16484,0
"100","3d6a0fd9ac3235da8d0ec0fd4a0e3f1b","10","cue_strength_unintentional_person","lookLabel","no","Bear","t1","t15","inner","t1","left","8",12967,1
